episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,0,sigma_1p0__kernel_9__order_2,1.0,9,2,4,0.9987333333333334,-0.0001329854130744934,,0.0002642323961481452,0.9651663573757788,3,3,4,0.0,4 2 1 6
2,0,sigma_1p0__kernel_9__order_2,1.0,9,2,5,0.9984166666666666,0.0,,0.0012056378182023764,0.8928408563695184,0,0,1,0.0,6
3,0,sigma_1p0__kernel_9__order_2,1.0,9,2,8,0.9974666666666666,0.21495062112808228,,0.000541932531632483,0.9571051071890753,2,2,3,0.0,5 2 6
4,0,sigma_1p0__kernel_9__order_2,1.0,9,2,12,0.9962,0.4253155291080475,,0.0004266452742740512,0.9677696075294872,3,3,4,0.0,4 1 2 6
5,0,sigma_1p0__kernel_9__order_2,1.0,9,2,16,0.9949333333333333,0.44318848848342896,,0.00030318705830723047,0.966498975202388,3,3,4,0.0,3 4 1 6
6,0,sigma_1p0__kernel_9__order_2,1.0,9,2,20,0.9936666666666667,0.42490386962890625,,0.0006465254118666053,0.9402043012709453,3,3,4,0.0,5 4 2 6
7,0,sigma_1p0__kernel_9__order_2,1.0,9,2,22,0.9930333333333333,0.31338638067245483,,0.000835648097563535,0.8955527381366839,1,1,2,0.0,4 6
8,0,sigma_1p0__kernel_9__order_2,1.0,9,2,27,0.99145,0.47850680351257324,,0.0004129802982788533,0.9556207623018238,4,4,5,0.0,1 3 4 2 6
9,0,sigma_1p0__kernel_9__order_2,1.0,9,2,30,0.9905,0.378616064786911,,0.0003682529495563358,0.9565913310622205,2,2,3,0.0,2 3 6
10,0,sigma_1p0__kernel_9__order_2,1.0,9,2,35,0.9889166666666667,-0.009546458721160889,,0.00010259622649755329,0.9913052334655054,4,4,5,0.0,3 5 4 2 6
11,0,sigma_1p0__kernel_9__order_2,1.0,9,2,38,0.9879666666666667,0.133186936378479,,0.00040230699232779443,0.95709592752451,2,2,3,0.0,1 2 6
12,0,sigma_1p0__kernel_9__order_2,1.0,9,2,42,0.9867,-0.01251976191997528,,0.000641210819594562,0.9370065891537173,3,3,4,0.0,3 5 1 6
13,0,sigma_1p0__kernel_9__order_2,1.0,9,2,44,0.9860666666666666,0.16890588402748108,,0.0009054227266460657,0.940409101652121,1,1,2,0.0,1 6
14,0,sigma_1p0__kernel_9__order_2,1.0,9,2,48,0.9848,0.11640073359012604,,0.0005311418790370226,0.9606085801486027,3,3,4,0.0,5 1 3 6
15,0,sigma_1p0__kernel_9__order_2,1.0,9,2,49,0.9844833333333334,0.0,,0.002031223848462105,0.8132610107804167,0,0,1,0.0,6
16,0,sigma_1p0__kernel_9__order_2,1.0,9,2,53,0.9832166666666666,0.06791109591722488,,0.0007634320063516498,0.9429564261797917,3,3,4,0.0,2 4 3 6
17,0,sigma_1p0__kernel_9__order_2,1.0,9,2,54,0.9829,0.0,,0.0012056378182023764,0.8928408563695184,0,0,1,0.0,6
18,0,sigma_1p0__kernel_9__order_2,1.0,9,2,57,0.98195,0.24742788076400757,,0.0002860176027752459,0.9641313101569198,2,2,3,0.0,5 2 6
19,0,sigma_1p0__kernel_9__order_2,1.0,9,2,61,0.9806833333333334,0.18412454426288605,,0.000527944415807724,0.9602414765234651,3,3,4,0.0,5 4 1 6
20,0,sigma_1p0__kernel_9__order_2,1.0,9,2,62,0.9803666666666667,0.0,,0.0021252217702567577,0.8223969706984217,0,0,1,0.0,6
21,0,sigma_1p0__kernel_9__order_2,1.0,9,2,64,0.9797333333333333,0.2555762529373169,,0.0009973973501473665,0.9042869721772979,1,1,2,0.0,1 6
22,0,sigma_1p0__kernel_9__order_2,1.0,9,2,68,0.9784666666666667,0.029664814472198486,,0.0002228680532425642,0.9832124059818305,3,3,4,0.0,3 1 4 6
23,0,sigma_1p0__kernel_9__order_2,1.0,9,2,69,0.97815,0.0,,0.0016372115351259708,0.8761107215434135,0,0,1,0.0,6
24,0,sigma_1p0__kernel_9__order_2,1.0,9,2,73,0.9768833333333333,0.5827685594558716,,0.00026917693321593106,0.9711808926745913,3,3,4,0.0,5 3 4 6
25,0,sigma_1p0__kernel_9__order_2,1.0,9,2,78,0.9753000000000001,0.33238184452056885,,0.00042701285565271974,0.9505246868456728,4,4,5,0.0,1 4 2 3 6
26,0,sigma_1p0__kernel_9__order_2,1.0,9,2,83,0.9737166666666667,-0.09515757858753204,,0.0001376520813209936,0.9834099957336285,5,5,6,0.0,2 1 5 4 3
27,0,sigma_1p0__kernel_9__order_2,1.0,9,2,86,0.9727666666666667,0.2172512710094452,,0.000610541901551187,0.9580463067175518,2,2,3,0.0,4 2 6
28,0,sigma_1p0__kernel_9__order_2,1.0,9,2,89,0.9718166666666667,0.3314863443374634,,0.0008614544058218598,0.9141885489491164,2,2,3,0.0,5 2 6
29,0,sigma_1p0__kernel_9__order_2,1.0,9,2,93,0.97055,0.12714655697345734,,0.0006559058092534542,0.9553239955948876,3,3,4,0.0,5 3 2 6
30,0,sigma_1p0__kernel_9__order_2,1.0,9,2,94,0.9702333333333333,0.0,,0.0019429026870056987,0.8447839053841607,0,0,1,0.0,6
31,0,sigma_1p0__kernel_9__order_2,1.0,9,2,97,0.9692833333333334,0.02178281545639038,,0.00083103560609743,0.9375276227750761,2,2,3,0.0,2 4 6
32,0,sigma_1p0__kernel_9__order_2,1.0,9,2,100,0.9683333333333334,0.49514806270599365,,0.00026132038328796625,0.971276197223686,2,2,3,0.0,3 4 6
33,0,sigma_1p0__kernel_9__order_2,1.0,9,2,105,0.96675,0.42244577407836914,,0.0005309764528647065,0.9327965038568313,4,4,5,0.0,1 2 4 5 6
34,0,sigma_1p0__kernel_9__order_2,1.0,9,2,106,0.9664333333333334,0.0,,0.0007940625073388219,0.8700849804207771,0,0,1,0.0,6
35,0,sigma_1p0__kernel_9__order_2,1.0,9,2,111,0.96485,0.5435150861740112,,0.00026785070076584816,0.9713053481296751,5,5,6,0.0,3 1 4 5 2
36,0,sigma_1p0__kernel_9__order_2,1.0,9,2,112,0.9645333333333334,0.0,,0.0011536136735230684,0.9010127445552211,0,0,1,0.0,6
37,0,sigma_1p0__kernel_9__order_2,1.0,9,2,116,0.9632666666666667,0.3840443789958954,,0.0006316049257293344,0.9184802806937312,3,3,4,0.0,2 1 5 6
38,0,sigma_1p0__kernel_9__order_2,1.0,9,2,120,0.962,0.35362404584884644,,0.000597373815253377,0.9388680807121018,3,3,4,0.0,1 2 4 6
39,0,sigma_1p0__kernel_9__order_2,1.0,9,2,121,0.9616833333333333,0.0,,0.0015070094959810376,0.8746289871278685,0,0,1,0.0,6
40,0,sigma_1p0__kernel_9__order_2,1.0,9,2,125,0.9604166666666667,0.19984114170074463,,0.0005110797937959433,0.9460258602245526,3,3,4,0.0,5 3 1 6
41,0,sigma_1p0__kernel_9__order_2,1.0,9,2,129,0.95915,0.2038663774728775,0.022426030598580837,0.000495326123200357,0.947226662839919,3,3,4,0.0,2 4 5 6
42,0,sigma_1p0__kernel_9__order_2,1.0,9,2,132,0.9582,0.4057651162147522,0.018654198075334232,0.0007135416381061077,0.9294198301934176,2,2,3,0.0,4 3 6
43,0,sigma_1p0__kernel_9__order_2,1.0,9,2,135,0.95725,0.47593677043914795,0.012090441770851612,0.00047976087080314755,0.9462537004852691,2,2,3,0.0,4 5 6
44,0,sigma_1p0__kernel_9__order_2,1.0,9,2,140,0.9556666666666667,0.555174708366394,0.006690241023898124,0.00044878676999360323,0.9659557233738417,5,5,6,0.0,5 1 4 3 2
45,0,sigma_1p0__kernel_9__order_2,1.0,9,2,145,0.9540833333333334,0.5435150861740112,0.005605037417262792,0.00026785070076584816,0.9713053481296751,5,5,6,0.0,4 3 5 2 1
46,0,sigma_1p0__kernel_9__order_2,1.0,9,2,149,0.9528166666666666,0.10957127809524536,0.005197653663344681,0.0004421971389092505,0.9650567721987451,3,3,4,0.0,1 3 4 6
47,0,sigma_1p0__kernel_9__order_2,1.0,9,2,150,0.9525,0.0,0.004050840623676777,0.0011536136735230684,0.9010127445552211,0,0,1,0.0,6
48,0,sigma_1p0__kernel_9__order_2,1.0,9,2,153,0.95155,0.133186936378479,0.003653326847900947,0.00040230699232779443,0.95709592752451,2,2,3,0.0,1 2 6
49,0,sigma_1p0__kernel_9__order_2,1.0,9,2,157,0.9502833333333334,0.4273219108581543,0.002984871156513691,0.0004148129664827138,0.96751252140996,3,3,4,0.0,3 2 4 6
50,0,sigma_1p0__kernel_9__order_2,1.0,9,2,161,0.9490166666666666,0.11284056305885315,0.002943527768366039,0.0005755031015723944,0.961151155825886,3,3,4,0.0,4 1 5 6
51,0,sigma_1p0__kernel_9__order_2,1.0,9,2,166,0.9474333333333333,0.050655797123909,0.002260936819948256,0.000355405529262498,0.9766140363481467,5,5,6,0.0,5 3 4 2 1
