method,metric,metric_mean,metric_std
Envelope-DQN,mse,0.0010065813810797408,0.00015060726447150972
Envelope-DQN,ssim,0.9002014590012006,0.014765119036584793
Envelope-DQN,edge_corr,0.9012624793856798,0.015194881245149748
Envelope-DQN,cost,0.4888888888888888,0.03142696805273545
Envelope-DQN,k_effective,4.4,0.2828427124746186
Envelope-DQN,hypervolume,0.62367,0.11726658859197711
greedy,mse,0.0012306451996361525,7.059388929472492e-05
greedy,ssim,0.903821270439092,0.01212235238817166
greedy,edge_corr,0.8915365608304338,0.008708225898573688
greedy,cost,0.3333333333333333,0.0
greedy,k_effective,3.0,0.0
greedy,hypervolume,0.740725,0.009878281733176095
random,mse,0.0015911782890422426,0.00012172673985222662
random,ssim,0.8766689872722908,0.011852108328213134
random,edge_corr,0.8537455184547882,0.010706409817589538
random,cost,0.3333333333333333,0.0
random,k_effective,3.0,0.0
random,hypervolume,0.737155,0.016114963543241483
top-k energy,mse,0.001769699062181947,0.00018059049134312797
top-k energy,ssim,0.8633039296327252,0.011282510195389488
top-k energy,edge_corr,0.8144561475593405,0.00613678312147056
top-k energy,cost,0.3333333333333333,0.0
top-k energy,k_effective,3.0,0.0
top-k energy,hypervolume,0.7195199999999999,0.008131727983645264
