episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,k_effective,cost,actions
1,5,0.9984166666666666,-0.14169175922870636,,0.0005943981232121587,0.910979705318968,4,4,0.4444444444444444,6 3 2 9 10
2,12,0.9962,-0.10525739192962646,,0.0005043733399361372,0.9432149757492698,6,6,0.6666666666666666,8 3 9 5 1 2 10
3,18,0.9943,0.09042669832706451,,0.000767687801271677,0.9413027419718636,5,5,0.5555555555555556,5 4 1 8 9 10
4,20,0.9936666666666667,0.30966728925704956,,0.0014587979530915618,0.8911110514622097,1,1,0.1111111111111111,4 10
5,27,0.99145,0.30883723497390747,,0.000661928323097527,0.9329300377336325,6,6,0.6666666666666666,7 9 2 4 3 1 10
6,35,0.9889166666666667,0.32325705885887146,,0.0009137998567894101,0.9088939545182212,7,7,0.7777777777777778,3 4 9 5 8 7 2 10
7,42,0.9867,0.3302694857120514,,0.0009296140633523464,0.8816568480979532,6,6,0.6666666666666666,1 2 9 6 8 3 10
8,44,0.9860666666666666,0.2059495449066162,,0.0016813874244689941,0.8275364751636308,1,1,0.1111111111111111,1 10
9,49,0.9844833333333334,0.44743382930755615,,0.0004681457648985088,0.9484248728304215,4,4,0.4444444444444444,7 1 4 9 10
10,53,0.9832166666666666,-0.03289691358804703,,0.0006935357814654708,0.9425408006352278,3,3,0.3333333333333333,2 6 4 10
11,61,0.9806833333333334,-0.19262227416038513,,0.0006249540601857007,0.9337269020013237,7,7,0.7777777777777778,9 7 2 8 6 5 1 10
12,68,0.9784666666666667,-0.29272031784057617,,0.0011832864256575704,0.8820621022039872,6,6,0.6666666666666666,9 1 6 4 2 5 10
13,77,0.9756166666666667,-0.08394673466682434,,0.0004984280676580966,0.9632101568009142,9,9,1.0,9 8 4 5 7 1 6 2 3
14,86,0.9727666666666667,-0.2090865969657898,,0.0007139601511880755,0.9482788577693538,8,8,0.8888888888888888,8 3 1 7 5 2 9 4 10
15,94,0.9702333333333333,-0.3463887870311737,,0.0010668020695447922,0.9037607727787157,7,7,0.7777777777777778,8 3 9 7 4 5 6 10
16,100,0.9683333333333334,-0.09344669431447983,,0.0013269932242110372,0.9017290213587168,5,5,0.5555555555555556,3 7 9 4 6 10
17,106,0.9664333333333334,-0.06139296293258667,,0.0006452451925724745,0.9333925727006229,5,5,0.5555555555555556,2 1 5 8 7 10
18,110,0.9651666666666666,0.16533266007900238,,0.0007586950669065118,0.9384094888652263,3,3,0.3333333333333333,5 1 4 10
19,112,0.9645333333333334,0.12509891390800476,,0.0021534007973968983,0.868552092803857,1,1,0.1111111111111111,5 10
20,120,0.962,-0.31588709354400635,,0.0009150393889285624,0.9214231483328215,7,7,0.7777777777777778,3 2 7 8 1 4 6 10
21,121,0.9616833333333333,0.0,,0.002936835866421461,0.7407296949868255,0,0,0.0,10
22,129,0.95915,-0.3136768043041229,0.013646256178617477,0.0004650549963116646,0.9588892224392057,7,7,0.7777777777777778,8 6 2 9 3 5 7 10
23,132,0.9582,0.0657871812582016,0.01104232824097077,0.001383138936944306,0.8787447501961739,2,2,0.2222222222222222,6 5 10
24,141,0.95535,0.4193282723426819,0.006844311176488797,0.0005844912957400084,0.9358204742461691,8,8,0.8888888888888888,6 5 9 8 2 7 4 3 10
25,149,0.9528166666666666,0.23136377334594727,0.0032655418617650867,0.0006305999122560024,0.9242945878315766,7,7,0.7777777777777778,5 8 4 2 1 6 7 10
26,150,0.9525,0.0,0.0034494157880544662,0.0013349374057725072,0.790675773986313,0,0,0.0,10
27,153,0.95155,0.19237114489078522,0.0027514958443741002,0.0012532620457932353,0.9149518598415906,2,2,0.2222222222222222,2 1 10
28,161,0.9490166666666666,0.3209678530693054,0.0019134137110086158,0.0009195635793730617,0.908052115268146,7,7,0.7777777777777778,5 4 3 9 7 1 8 10
29,170,0.9461666666666667,-0.20475764572620392,0.0013877003996943433,0.000983603997156024,0.9414310769646403,8,8,0.8888888888888888,5 6 4 8 3 9 7 2 10
30,172,0.9455333333333333,0.07248638570308685,0.0011228287476114929,0.0021186196245253086,0.8365849448671381,1,1,0.1111111111111111,7 10
31,181,0.9426833333333333,-0.3898943066596985,0.0011925931580157743,0.0005989187047816813,0.935726826454598,8,8,0.8888888888888888,1 5 9 7 8 3 4 6 10
32,190,0.9398333333333333,0.43200063705444336,0.0010757670647257732,0.0002893420751206577,0.9649707136872833,9,9,1.0,2 5 8 4 9 3 1 7 6
33,193,0.9388833333333333,0.31535136699676514,0.0009677917502510051,0.0012101465836167336,0.8432082371624556,2,2,0.2222222222222222,5 6 10
34,198,0.9373,-0.13436532020568848,0.0007865453488193452,0.0005507086752913892,0.9143530158735768,4,4,0.4444444444444444,2 8 6 5 10
35,203,0.9357166666666666,0.4823382496833801,0.0006793929962441326,0.0006575635634362698,0.9272691658504227,4,4,0.4444444444444444,1 7 5 4 10
36,205,0.9350833333333334,0.06688880175352097,0.0007088904676493257,0.0017590336501598358,0.865744694735186,1,1,0.1111111111111111,6 10
37,211,0.9331833333333334,0.35761648416519165,0.0006554660164207841,0.0009040672448463738,0.8799901706001563,5,5,0.5555555555555556,2 8 9 5 4 10
38,217,0.9312833333333334,0.27545619010925293,0.0006195533593806127,0.001019795541651547,0.8990015372651653,5,5,0.5555555555555556,2 9 5 4 8 10
39,220,0.9303333333333333,0.08004963397979736,0.0006019394301498929,0.0015938547439873219,0.8683460109538258,2,2,0.2222222222222222,9 6 10
40,229,0.9274833333333333,-0.08737021684646606,0.0005453593104094681,0.0007406803779304028,0.9171057553977376,8,8,0.8888888888888888,3 4 2 6 5 7 9 8 10
41,238,0.9246333333333333,-0.1387883573770523,0.000522546612450646,0.0007213626522570848,0.9197463281762728,9,9,1.0,7 3 2 8 9 6 1 5 4
42,241,0.9236833333333333,0.2570740580558777,0.00045703940365153056,0.001373994629830122,0.8472430129645129,2,2,0.2222222222222222,1 3 10
43,244,0.9227333333333334,0.4198872447013855,0.0006094068133582672,0.0009392201318405569,0.8869639261050967,2,2,0.2222222222222222,2 5 10
44,247,0.9217833333333334,0.34240180253982544,0.00041196764990066487,0.0021962239407002926,0.8296659826638795,2,2,0.2222222222222222,9 8 10
45,255,0.91925,0.4004766345024109,0.0031475241739826743,0.0006946168141439557,0.9208029141997327,7,7,0.7777777777777778,3 2 7 8 9 5 6 10
46,261,0.91735,-0.05439428985118866,0.002507072097311417,0.0008018488297238946,0.9246632733540643,5,5,0.5555555555555556,4 1 9 5 6 10
47,269,0.9148166666666666,0.015886619687080383,0.0017035701748682186,0.0003931820101570338,0.9622499355592286,7,7,0.7777777777777778,1 9 7 8 6 5 4 10
48,270,0.9145,0.0,0.0013572403695434332,0.002334018237888813,0.8169348388184947,0,0,0.0,10
49,272,0.9138666666666666,0.22261132299900055,0.0011718218447640538,0.0018031485378742218,0.8636025600844062,1,1,0.1111111111111111,1 10
50,275,0.9129166666666667,0.10632570087909698,0.0013071692471082013,0.0015285563422366977,0.8917492274084216,2,2,0.2222222222222222,4 2 10
51,280,0.9113333333333333,0.004274845123291016,0.000999653688631952,0.001861639553681016,0.8983113912247591,4,4,0.4444444444444444,4 3 6 2 10
52,282,0.9107000000000001,0.1668059229850769,0.0008382336527574807,0.0013072576839476824,0.8351493613987133,1,1,0.1111111111111111,9 10
53,289,0.9084833333333333,0.003999724984169006,0.0008701458490187568,0.0016247698804363608,0.8879845079287054,6,6,0.6666666666666666,4 3 9 1 6 5 10
54,296,0.9062666666666667,-0.265029639005661,0.0007064714279424931,0.000814227678347379,0.9146330760123029,6,6,0.6666666666666666,6 5 9 1 4 8 10
55,302,0.9043666666666667,-0.16965621709823608,0.0006986578033926586,0.0005526245222426951,0.9527174914599031,5,5,0.5555555555555556,8 6 3 9 7 10
56,311,0.9015166666666666,-0.46306997537612915,0.0006605329108424485,0.00048494775546714664,0.9422573891117301,9,9,1.0,3 6 9 5 4 8 2 7 1
57,312,0.9012,0.0,0.0007513906457461417,0.001842327183112502,0.7705962758325262,0,0,0.0,10
58,319,0.8989833333333334,-0.11184659600257874,0.0006397354175403182,0.001022377866320312,0.9260611756838742,6,6,0.6666666666666666,7 9 6 2 3 8 10
59,325,0.8970833333333333,-0.23198041319847107,0.0006444203318096697,0.0015576863661408424,0.8700354493064772,5,5,0.5555555555555556,6 4 1 7 2 10
