method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0014749233378097415,0.8280715619376666,0.8812393286114562,0.9985250766621903,0.8280715619376666,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0014749233378097415,0.8280715619376666,0.8812393286114562,0.9985250766621903,0.8280715619376666,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015798251843079925,0.8434022336679995,0.8156463359273319,0.998420174815692,0.8434022336679995,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018523118924349546,0.803129469789786,0.8117408658011631,0.998147688107565,0.803129469789786,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0021586897782981396,0.8058185255637793,0.782418204063819,0.9978413102217019,0.8058185255637793,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015047318302094936,0.8414332089008815,0.8224375821054366,0.9984952681697905,0.8414332089008815,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018176216399297118,0.8245035325499267,0.8512730603034993,0.9981823783600703,0.8245035325499267,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018523118924349546,0.803129469789786,0.8117408658011631,0.998147688107565,0.803129469789786,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015645247185602784,0.8433240845613403,0.8150286536931863,0.9984354752814397,0.8433240845613403,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015645247185602784,0.8433240845613403,0.8150286536931863,0.9984354752814397,0.8433240845613403,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018176216399297118,0.8245035325499267,0.8512730603034993,0.9981823783600703,0.8245035325499267,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017911437898874283,0.8343429234140197,0.833620090254296,0.9982088562101126,0.8343429234140197,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,,,
random,0,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015645247185602784,0.8433240845613403,0.8150286536931863,0.9984354752814397,0.8433240845613403,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
