episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1,5,0.9984166666666666,-0.0006560832262039185,,0.0006615460151806474,0.901122011200001,4,4,5,0.0,6 3 2 9 10
2,12,0.9962,0.08401574194431305,,0.0005552586517296731,0.9372993285250578,6,6,7,0.0,8 3 9 5 1 2 10
3,18,0.9943,0.22060804069042206,,0.0008235970162786543,0.937643176699932,5,5,6,0.0,5 4 1 8 9 10
4,20,0.9936666666666667,0.32692933082580566,,0.001457496196962893,0.891225542611798,1,1,2,0.0,4 10
5,27,0.99145,0.39455682039260864,,0.0007065633544698358,0.9273093740558794,6,6,7,0.0,7 9 2 4 3 1 10
6,35,0.9889166666666667,0.3926352858543396,,0.0009371813503094018,0.9062324092146474,7,7,8,0.0,3 4 9 5 8 7 2 10
7,42,0.9867,0.3766261041164398,,0.0009847258916124701,0.8739464331272099,6,6,7,0.0,1 2 9 6 8 3 10
8,44,0.9860666666666666,0.2172810137271881,,0.0016820334130898118,0.8275073472605343,1,1,2,0.0,1 10
9,49,0.9844833333333334,0.4924865663051605,,0.00046729505993425846,0.9484523152412048,4,4,5,0.0,7 1 4 9 10
10,53,0.9832166666666666,0.08338310569524765,,0.0006964591448195279,0.9422283739595719,3,3,4,0.0,2 6 4 10
11,61,0.9806833333333334,0.029190436005592346,,0.0006940242601558566,0.9284937018783282,7,7,8,0.0,9 7 2 8 6 5 1 10
12,68,0.9784666666666667,-0.06874291598796844,,0.001263734302483499,0.8723988975802444,6,6,7,0.0,9 1 6 4 2 5 10
13,77,0.9756166666666667,0.15909059345722198,,0.000529500306583941,0.9594392766389779,9,9,10,0.0,9 8 4 5 7 1 6 2 3
14,86,0.9727666666666667,0.05436970293521881,,0.0007386472425423563,0.9456075587078451,8,8,9,0.0,8 3 1 7 5 2 9 4 10
15,94,0.9702333333333333,-0.07828035205602646,,0.0011149243218824267,0.9001817483184738,7,7,8,0.0,8 3 9 7 4 5 6 10
16,100,0.9683333333333334,0.05980846285820007,,0.0014482823899015784,0.8941283559473177,5,5,6,0.0,3 7 9 4 6 10
17,106,0.9664333333333334,0.09345544129610062,,0.0007140182424336672,0.9278615371597649,5,5,6,0.0,2 1 5 8 7 10
18,110,0.9651666666666666,0.22387820482254028,,0.0008857709472067654,0.9303740142145849,3,3,4,0.0,5 1 4 10
19,112,0.9645333333333334,0.1328597068786621,,0.0022542248480021954,0.8580638985908131,1,1,2,0.0,5 10
