method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
Envelope-DQN,0,0.003782667266204953,0.0012128743931609195,0.7526762089884951,0.06237406370090704,0.7043832178039838,0.04692655174416999,0.0,0.0,0.0,0.9962173327337951,0.7526762089884951,1.0,1.0,30
Envelope-DQN,1,0.0023095028242096304,0.000797209593725847,0.8604090052312428,0.031046496088547048,0.8130741291911961,0.04153745825047084,1.0,1.0,0.11111111111111112,0.9976904971757904,0.8604090052312428,0.888888888888889,0.888888888888889,20
greedy,1,0.002119850122835487,0.0007337938136863073,0.8628724148372957,0.0318809278222906,0.8271455891520544,0.03893141148053092,1.0,1.0,0.11111111111111112,0.9978801498771646,0.8628724148372957,0.888888888888889,0.888888888888889,10
greedy,2,0.001350992574589327,0.0004609132851500505,0.9052946628287311,0.024008169102097552,0.8918732519686721,0.027290918251890273,2.0,2.0,0.22222222222222224,0.9986490074254106,0.9052946628287311,0.7777777777777778,0.7777777777777778,10
greedy,3,0.0009581359976436943,0.0003129028200987857,0.930801923176942,0.020160353009735125,0.925595755874631,0.016893142439940566,3.0,3.0,0.3333333333333333,0.9990418640023563,0.930801923176942,0.6666666666666667,0.6666666666666667,10
greedy,4,0.0008195126429200172,0.0002992992423167113,0.9389674695476659,0.018767793522019214,0.9364238879964848,0.015074951468453264,4.0,4.0,0.4444444444444445,0.99918048735708,0.9389674695476659,0.5555555555555556,0.5555555555555556,10
greedy,5,0.0007637017319211736,0.000296908886368669,0.9435048660358655,0.01846023608030857,0.9403412742195734,0.014893892627286845,5.0,5.0,0.5555555555555556,0.9992362982680788,0.9435048660358655,0.4444444444444445,0.4444444444444445,10
greedy,6,0.0007493361423257739,0.00029934152719612004,0.9448805110586649,0.018160160615196163,0.9423228813318902,0.01600677235127519,6.0,6.0,0.6666666666666666,0.9992506638576742,0.9448805110586649,0.33333333333333337,0.33333333333333337,10
greedy,7,0.0007400847767712549,0.00029530764430985934,0.945485742546742,0.018041297275669235,0.94343124370407,0.01569075597107682,7.0,7.0,0.7777777777777778,0.9992599152232288,0.945485742546742,0.22222222222222224,0.22222222222222224,10
greedy,8,0.0007351753418333828,0.0002920159185872545,0.9456314229640078,0.017939921062905456,0.9443317592126463,0.015034351963659239,8.0,8.0,0.888888888888889,0.9992648246581666,0.9456314229640078,0.11111111111111116,0.11111111111111116,10
greedy,9,0.0007274310017237439,0.0002891326682977883,0.9458210775666338,0.017635933266687664,0.9460570928080209,0.01441671468995242,9.0,9.0,1.0,0.9992725689982762,0.9458210775666338,0.0,0.0,10
random,1,0.0024520244041923434,0.0008790681112656311,0.835903725405432,0.041252687311866244,0.7989045890374388,0.0518845776161512,1.0,1.0,0.1111111111111111,0.9975479755958077,0.835903725405432,0.8888888888888888,0.8888888888888888,200
random,2,0.0018298449114081449,0.0007076382864195221,0.8749903212920218,0.03620685705616838,0.8465993143395514,0.04793805206963776,2.0,2.0,0.2222222222222222,0.9981701550885919,0.8749903212920218,0.7777777777777779,0.7777777777777779,200
random,3,0.001430971773515921,0.000582645451918821,0.8995816702174565,0.030942254312315932,0.8784677732046782,0.04349748118696896,3.0,3.0,0.33333333333333326,0.9985690282264841,0.8995816702174565,0.6666666666666667,0.6666666666666667,200
random,4,0.001236417221953161,0.0005164392270623542,0.9131890020372474,0.02693608511314386,0.8982211984173497,0.03332538751287337,4.0,4.0,0.4444444444444444,0.9987635827780469,0.9131890020372474,0.5555555555555556,0.5555555555555556,200
random,5,0.0010824526936630719,0.00043287239458852245,0.9224259889306579,0.023479105271720143,0.9104065062718008,0.02942046678544005,5.0,5.0,0.5555555555555556,0.998917547306337,0.9224259889306579,0.4444444444444444,0.4444444444444444,200
random,6,0.000979027882858645,0.00039418714669697857,0.9291930096554825,0.022772319179673598,0.9193550381272604,0.027722242825592287,6.0,6.0,0.6666666666666665,0.9990209721171414,0.9291930096554825,0.33333333333333337,0.33333333333333337,200
random,7,0.0008870864997152239,0.00036070126489594324,0.9355642355617256,0.020165284789199982,0.9293099918349972,0.022557269056655456,7.0,7.0,0.7777777777777779,0.9991129135002847,0.9355642355617256,0.2222222222222222,0.2222222222222222,200
random,8,0.0007983390302979388,0.00031250394970266113,0.94124049621921,0.018417502071872614,0.9387674167890577,0.01738690198187729,8.0,8.0,0.8888888888888888,0.9992016609697021,0.94124049621921,0.11111111111111116,0.11111111111111116,200
random,9,0.0007274310017237439,0.00027498365394872836,0.9458210775666338,0.016772900132734036,0.9460570928080209,0.0137112174377209,9.0,9.0,1.0,0.9992725689982762,0.9458210775666338,0.0,0.0,200
top-k energy,1,0.002264357777312398,0.0007562589750891976,0.8472090433553243,0.03546101999654379,0.7915543882234284,0.04507825965033195,1.0,1.0,0.11111111111111112,0.9977356422226876,0.8472090433553243,0.888888888888889,0.888888888888889,10
top-k energy,2,0.0021363552019465714,0.0008125759762963734,0.8545320352139095,0.042491870241692924,0.8023790136226376,0.049180366312375365,2.0,2.0,0.22222222222222224,0.9978636447980535,0.8545320352139095,0.7777777777777778,0.7777777777777778,10
top-k energy,3,0.001838979119202122,0.00067468149390492,0.8726437203865165,0.041255352285536014,0.819911773947233,0.038099092469795925,3.0,3.0,0.3333333333333333,0.9981610208807978,0.8726437203865165,0.6666666666666667,0.6666666666666667,10
top-k energy,4,0.00170361518394202,0.0006365609831506786,0.8849100752389246,0.031693611070777596,0.8290675833752216,0.03850566797635013,4.0,4.0,0.4444444444444445,0.998296384816058,0.8849100752389246,0.5555555555555556,0.5555555555555556,10
top-k energy,5,0.0015888505731709301,0.000587879177070609,0.8939928435602331,0.03177767841019223,0.8449203633869491,0.0327616806480889,5.0,5.0,0.5555555555555556,0.9984111494268291,0.8939928435602331,0.4444444444444445,0.4444444444444445,10
