method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
greedy,1,0.0021198500762693584,0.0007337938009023687,0.8628724241412193,0.03188102994574781,0.8271455963342685,0.03893141131684773,1.0,1.0,0.11111111111111112,0.9978801499237306,0.8628724241412193,0.888888888888889,0.888888888888889,10
greedy,2,0.0013509925920516253,0.0004609133343184577,0.9052949039684665,0.02400849123384276,0.8918732456154561,0.027290923670007218,2.0,2.0,0.22222222222222224,0.9986490074079484,0.9052949039684665,0.7777777777777778,0.7777777777777778,10
greedy,3,0.0009581360354786739,0.00031290285703234027,0.9308019455049162,0.020160327609524038,0.9255957495121147,0.01689314909323642,3.0,3.0,0.3333333333333333,0.9990418639645213,0.9308019455049162,0.6666666666666667,0.6666666666666667,10
greedy,4,0.0008195126953069121,0.00029929927388048854,0.9389674139203554,0.01876775702361503,0.9364238821830522,0.015074952035556921,4.0,4.0,0.4444444444444445,0.9991804873046931,0.9389674139203554,0.5555555555555556,0.5555555555555556,10
greedy,5,0.0007637017784873024,0.0002969089234050823,0.943504893052415,0.01846011541069782,0.9403412700874643,0.014893893031137577,5.0,5.0,0.5555555555555556,0.9992362982215127,0.943504893052415,0.4444444444444445,0.4444444444444445,10
greedy,6,0.0007493362092645839,0.00029934160120891946,0.9448805078806514,0.018160046634686428,0.9423228770458071,0.016006775187517214,6.0,6.0,0.6666666666666666,0.9992506637907355,0.9448805078806514,0.33333333333333337,0.33333333333333337,10
greedy,7,0.0007400848291581497,0.00029530770588365337,0.9454857146666429,0.018041263859357805,0.9434312393868035,0.015690759693024012,7.0,7.0,0.7777777777777778,0.9992599151708419,0.9454857146666429,0.22222222222222224,0.22222222222222224,10
greedy,8,0.000735175356385298,0.0002920159578694121,0.9456314688690192,0.01793991933013554,0.9443317561829124,0.015034353679235399,8.0,8.0,0.888888888888889,0.9992648246436147,0.9456314688690192,0.11111111111111116,0.11111111111111116,10
greedy,9,0.0007274310541106388,0.00028913272747474667,0.9458212698239492,0.017636012559662816,0.9460570875968981,0.014416714897163431,9.0,9.0,1.0,0.9992725689458893,0.9458212698239492,0.0,0.0,10
random,1,0.0024520245037274436,0.0008790682024077141,0.8359037260735999,0.04125263866084532,0.7989045892376603,0.05188458062539655,1.0,1.0,0.1111111111111111,0.9975479754962726,0.8359037260735999,0.8888888888888888,0.8888888888888888,200
random,2,0.001829844966705423,0.0007076383345962113,0.8749902543578507,0.036206872289519285,0.8465993121271971,0.04793805452968024,2.0,2.0,0.2222222222222222,0.9981701550332945,0.8749902543578507,0.7777777777777779,0.7777777777777779,200
random,3,0.0014309718368167522,0.0005826454981767158,0.8995816508118937,0.030942289439191677,0.8784677677288163,0.04349748492672424,3.0,3.0,0.33333333333333326,0.9985690281631833,0.8995816508118937,0.6666666666666667,0.6666666666666667,200
random,4,0.0012364172862726263,0.0005164392861891495,0.913188957211752,0.026936107023060055,0.8982211943975145,0.03332539033188456,4.0,4.0,0.4444444444444444,0.9987635827137273,0.913188957211752,0.5555555555555556,0.5555555555555556,200
random,5,0.0010824527431395835,0.00043287242320130803,0.922425982443322,0.02347910042035816,0.9104065019221573,0.029420468664451447,5.0,5.0,0.5555555555555556,0.9989175472568604,0.922425982443322,0.4444444444444444,0.4444444444444444,200
random,6,0.0009790279461594764,0.000394187196325342,0.9291929876747743,0.02277231475226588,0.9193550338828069,0.02772224313238585,6.0,6.0,0.6666666666666665,0.9990209720538406,0.9291929876747743,0.33333333333333337,0.33333333333333337,200
random,7,0.0008870865598146338,0.00036070130383774885,0.9355642263655658,0.02016529838571715,0.9293099867433625,0.022557270742870863,7.0,7.0,0.7777777777777779,0.9991129134401854,0.9355642263655658,0.2222222222222222,0.2222222222222222,200
random,8,0.0007983390710433014,0.00031250397550433584,0.9412405575322725,0.018417585565011878,0.9387674130478633,0.01738690354164759,8.0,8.0,0.8888888888888888,0.9992016609289567,0.9412405575322725,0.11111111111111116,0.11111111111111116,200
random,9,0.0007274310541106388,0.00027498371022979947,0.9458212698239492,0.016772975545423195,0.9460570875968982,0.013711217634791963,9.0,9.0,1.0,0.9992725689458893,0.9458212698239492,0.0,0.0,200
top-k energy,1,0.002264357847161591,0.0007562590400262959,0.8472089101255327,0.035460938012105626,0.7915543905023753,0.04507827386096361,1.0,1.0,0.11111111111111112,0.9977356421528384,0.8472089101255327,0.888888888888889,0.888888888888889,10
top-k energy,2,0.0021363553067203613,0.0008125761017866135,0.8545319342755964,0.042491793091926515,0.8023790091649117,0.049180378255514925,2.0,2.0,0.22222222222222224,0.9978636446932796,0.8545319342755964,0.7777777777777778,0.7777777777777778,10
top-k energy,3,0.0018389791832305491,0.0006746815737648724,0.8726435996733791,0.04125536850002436,0.8199117723109879,0.03809910494401341,3.0,3.0,0.3333333333333333,0.9981610208167695,0.8726435996733791,0.6666666666666667,0.6666666666666667,10
top-k energy,4,0.001703615195583552,0.0006365610340796067,0.8849101360501914,0.031693458225678005,0.8290675837272999,0.038505676976955526,4.0,4.0,0.4444444444444445,0.9982963848044164,0.8849101360501914,0.5555555555555556,0.5555555555555556,10
top-k energy,5,0.0015888506546616553,0.0005878792787211647,0.8939927383583646,0.03177769066938885,0.8449203589928709,0.03276168519664937,5.0,5.0,0.5555555555555556,0.9984111493453384,0.8939927383583646,0.4444444444444445,0.4444444444444445,10
top-k energy,6,0.0012721888953819871,0.0004814760288794741,0.9093656326162405,0.026888093582411194,0.8875009475031137,0.0326021540744647,6.0,6.0,0.6666666666666666,0.9987278111046181,0.9093656326162405,0.33333333333333337,0.33333333333333337,10
top-k energy,7,0.0010466340172570199,0.00038125585667439044,0.9246345652442306,0.018621769795297602,0.9128079752196356,0.024067383136340024,7.0,7.0,0.7777777777777778,0.998953365982743,0.9246345652442306,0.22222222222222224,0.22222222222222224,10
top-k energy,8,0.0008857662993250415,0.0003197654808074028,0.9330574525004158,0.01926290163158908,0.9316816604221249,0.014325327634835763,8.0,8.0,0.888888888888889,0.999114233700675,0.9330574525004158,0.11111111111111116,0.11111111111111116,10
top-k energy,9,0.0007274310541106388,0.00028913272747474667,0.9458212698239492,0.017636012559662816,0.9460570875968981,0.014416714897163431,9.0,9.0,1.0,0.9992725689458893,0.9458212698239492,0.0,0.0,10
