method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels
greedy,0,,1,1,0.10000000149011612,0.1,0.004583664238452911,0.7657122535533609,0.9954163357615471,0.7657122535533609,0.8999999985098839,0.9,0,H00
greedy,0,,2,2,0.20000000298023224,0.2,0.0023713766131550074,0.8813675224657007,0.997628623386845,0.8813675224657007,0.7999999970197678,0.8,0 4,H00 H11
greedy,0,,3,3,0.30000001192092896,0.3,0.0015156720764935017,0.9165589991739899,0.9984843279235065,0.9165589991739899,0.699999988079071,0.7,0 4 5,H00 H11 H20
greedy,0,,4,4,0.4000000059604645,0.4,0.0009536365396343172,0.9448605139743134,0.9990463634603657,0.9448605139743134,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,0,,5,5,0.5,0.5,0.0008095104130916297,0.952111841771889,0.9991904895869084,0.952111841771889,0.5,0.5,0 3 4 5 6,H00 H02 H11 H20 H03
greedy,0,,6,6,0.6000000238418579,0.6,0.0007429610705003142,0.9560445321548849,0.9992570389294997,0.9560445321548849,0.3999999761581421,0.4,0 3 4 5 6 9,H00 H02 H11 H20 H03 H30
greedy,0,,7,7,0.699999988079071,0.7,0.0007300645811483264,0.9566806850159778,0.9992699354188517,0.9566806850159778,0.30000001192092896,0.30000000000000004,0 3 4 5 6 7 9,H00 H02 H11 H20 H03 H12 H30
greedy,0,,8,8,0.800000011920929,0.8,0.0007232133066281676,0.956970638419445,0.9992767866933718,0.956970638419445,0.19999998807907104,0.19999999999999996,0 2 3 4 5 6 7 9,H00 H10 H02 H11 H20 H03 H12 H30
greedy,0,,9,9,0.8999999761581421,0.9,0.000723161967471242,0.9570350702962751,0.9992768380325288,0.9570350702962751,0.10000002384185791,0.09999999999999998,0 2 3 4 5 6 7 8 9,H00 H10 H02 H11 H20 H03 H12 H21 H30
greedy,0,,10,10,1.0,1.0,0.0007124497788026929,0.9573533797058565,0.9992875502211973,0.9573533797058565,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
greedy,1,,1,1,0.10000000149011612,0.1,0.0025699364487081766,0.7542833662622328,0.9974300635512918,0.7542833662622328,0.8999999985098839,0.9,0,H00
greedy,1,,2,2,0.20000000298023224,0.2,0.0015798253007233143,0.8434021819325321,0.9984201746992767,0.8434021819325321,0.7999999970197678,0.8,0 7,H00 H12
greedy,1,,3,3,0.30000001192092896,0.3,0.0010468470863997936,0.8884421791992063,0.9989531529136002,0.8884421791992063,0.699999988079071,0.7,0 7 8,H00 H12 H21
greedy,1,,4,4,0.4000000059604645,0.4,0.0009459014981985092,0.9017608652996535,0.9990540985018015,0.9017608652996535,0.5999999940395355,0.6,0 4 7 8,H00 H11 H12 H21
greedy,1,,5,5,0.5,0.5,0.0007586352876387537,0.9121018453333948,0.9992413647123612,0.9121018453333948,0.5,0.5,0 4 5 7 8,H00 H11 H20 H12 H21
greedy,1,,6,6,0.6000000238418579,0.6,0.0007183214765973389,0.9174606140158122,0.9992816785234027,0.9174606140158122,0.3999999761581421,0.4,0 3 4 5 7 8,H00 H02 H11 H20 H12 H21
greedy,1,,7,7,0.699999988079071,0.7,0.0006982976337894797,0.9204348451529899,0.9993017023662105,0.9204348451529899,0.30000001192092896,0.30000000000000004,0 3 4 5 7 8 9,H00 H02 H11 H20 H12 H21 H30
greedy,1,,8,8,0.800000011920929,0.8,0.0006956575671210885,0.9210363750685977,0.9993043424328789,0.9210363750685977,0.19999998807907104,0.19999999999999996,0 3 4 5 6 7 8 9,H00 H02 H11 H20 H03 H12 H21 H30
greedy,1,,9,9,0.8999999761581421,0.9,0.0006885196780785918,0.9217923263909559,0.9993114803219214,0.9217923263909559,0.10000002384185791,0.09999999999999998,0 2 3 4 5 6 7 8 9,H00 H10 H02 H11 H20 H03 H12 H21 H30
greedy,1,,10,10,1.0,1.0,0.0006823450094088912,0.9224848590268533,0.9993176549905911,0.9224848590268533,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
greedy,2,,1,1,0.10000000149011612,0.1,0.004378097131848335,0.7438907887884632,0.9956219028681517,0.7438907887884632,0.8999999985098839,0.9,0,H00
greedy,2,,2,2,0.20000000298023224,0.2,0.0023785727098584175,0.8614933426014627,0.9976214272901416,0.8614933426014627,0.7999999970197678,0.8,0 5,H00 H20
greedy,2,,3,3,0.30000001192092896,0.3,0.0014027684228494763,0.913603030543832,0.9985972315771505,0.913603030543832,0.699999988079071,0.7,0 3 5,H00 H02 H20
greedy,2,,4,4,0.4000000059604645,0.4,0.0009146287338808179,0.9451737933826503,0.9990853712661192,0.9451737933826503,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,2,,5,5,0.5,0.5,0.0007690021302551031,0.9526810388431821,0.9992309978697449,0.9526810388431821,0.5,0.5,0 3 4 5 9,H00 H02 H11 H20 H30
greedy,2,,6,6,0.6000000238418579,0.6,0.0007052495493553579,0.955721905271165,0.9992947504506446,0.955721905271165,0.3999999761581421,0.4,0 3 4 5 6 9,H00 H02 H11 H20 H03 H30
greedy,2,,7,7,0.699999988079071,0.7,0.0006969271926209331,0.9566320935518932,0.9993030728073791,0.9566320935518932,0.30000001192092896,0.30000000000000004,0 3 4 5 6 8 9,H00 H02 H11 H20 H03 H21 H30
greedy,2,,8,8,0.800000011920929,0.8,0.000687545514665544,0.9570402314312818,0.9993124544853345,0.9570402314312818,0.19999998807907104,0.19999999999999996,0 1 3 4 5 6 8 9,H00 H01 H02 H11 H20 H03 H21 H30
greedy,2,,9,9,0.8999999761581421,0.9,0.0006870478391647339,0.957169543938461,0.9993129521608353,0.957169543938461,0.10000002384185791,0.09999999999999998,0 1 3 4 5 6 7 8 9,H00 H01 H02 H11 H20 H03 H12 H21 H30
greedy,2,,10,10,1.0,1.0,0.0006764421705156565,0.957228401788775,0.9993235578294843,0.957228401788775,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
greedy,3,,1,1,0.10000000149011612,0.1,0.0032505933195352554,0.755452067235498,0.9967494066804647,0.755452067235498,0.8999999985098839,0.9,0,H00
greedy,3,,2,2,0.20000000298023224,0.2,0.0018813424976542592,0.8687248382092798,0.9981186575023457,0.8687248382092798,0.7999999970197678,0.8,0 4,H00 H11
greedy,3,,3,3,0.30000001192092896,0.3,0.0012808043975383043,0.906972157304905,0.9987191956024617,0.906972157304905,0.699999988079071,0.7,0 4 5,H00 H11 H20
greedy,3,,4,4,0.4000000059604645,0.4,0.0008054295904003084,0.9396085455287225,0.9991945704095997,0.9396085455287225,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,3,,5,5,0.5,0.5,0.0006817359244450927,0.947281070912919,0.9993182640755549,0.947281070912919,0.5,0.5,0 3 4 5 9,H00 H02 H11 H20 H30
greedy,3,,6,6,0.6000000238418579,0.6,0.0006468939245678484,0.9508999620656196,0.9993531060754322,0.9508999620656196,0.3999999761581421,0.4,0 3 4 5 6 9,H00 H02 H11 H20 H03 H30
greedy,3,,7,7,0.699999988079071,0.7,0.0006359581020660698,0.951853928239252,0.9993640418979339,0.951853928239252,0.30000001192092896,0.30000000000000004,0 3 4 5 6 7 9,H00 H02 H11 H20 H03 H12 H30
greedy,3,,8,8,0.800000011920929,0.8,0.0006257093045860529,0.9526513942321331,0.999374290695414,0.9526513942321331,0.19999998807907104,0.19999999999999996,0 3 4 5 6 7 8 9,H00 H02 H11 H20 H03 H12 H21 H30
greedy,3,,9,9,0.8999999761581421,0.9,0.0006177826435305178,0.9527689311897003,0.9993822173564695,0.9527689311897003,0.10000002384185791,0.09999999999999998,0 1 3 4 5 6 7 8 9,H00 H01 H02 H11 H20 H03 H12 H21 H30
greedy,3,,10,10,1.0,1.0,0.0006095707649365067,0.9527124727098326,0.9993904292350635,0.9527124727098326,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
greedy,4,,1,1,0.10000000149011612,0.1,0.002123134210705757,0.8024349885059169,0.9978768657892942,0.8024349885059169,0.8999999985098839,0.9,0,H00
greedy,4,,2,2,0.20000000298023224,0.2,0.0011297360761091113,0.8922865877058644,0.9988702639238909,0.8922865877058644,0.7999999970197678,0.8,0 4,H00 H11
greedy,4,,3,3,0.30000001192092896,0.3,0.000688560598064214,0.9351298272716021,0.9993114394019358,0.9351298272716021,0.699999988079071,0.7,0 3 4,H00 H02 H11
greedy,4,,4,4,0.4000000059604645,0.4,0.00044992694165557623,0.9575119962058651,0.9995500730583444,0.9575119962058651,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,4,,5,5,0.5,0.5,0.00037410890217870474,0.9638610532004541,0.9996258910978213,0.9638610532004541,0.5,0.5,0 3 4 5 6,H00 H02 H11 H20 H03
greedy,4,,6,6,0.6000000238418579,0.6,0.00034054971183650196,0.9666183511156248,0.9996594502881635,0.9666183511156248,0.3999999761581421,0.4,0 3 4 5 6 9,H00 H02 H11 H20 H03 H30
greedy,4,,7,7,0.699999988079071,0.7,0.00033716659527271986,0.9669705543237407,0.9996628334047273,0.9669705543237407,0.30000001192092896,0.30000000000000004,0 3 4 5 6 8 9,H00 H02 H11 H20 H03 H21 H30
greedy,4,,8,8,0.800000011920929,0.8,0.0003345945733599365,0.9672908409101075,0.9996654054266401,0.9672908409101075,0.19999998807907104,0.19999999999999996,0 3 4 5 6 7 8 9,H00 H02 H11 H20 H03 H12 H21 H30
greedy,4,,9,9,0.8999999761581421,0.9,0.0003326048026792705,0.9674023111814835,0.9996673951973207,0.9674023111814835,0.10000002384185791,0.09999999999999998,0 1 3 4 5 6 7 8 9,H00 H01 H02 H11 H20 H03 H12 H21 H30
greedy,4,,10,10,1.0,1.0,0.0003309461462777108,0.9674689205945884,0.9996690538537223,0.9674689205945884,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
