method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels
top-k energy,0,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002665411215275526,0.8590303371448899,0.7909125126140097,0.9973345887847245,0.8590303371448899,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01
top-k energy,0,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.001830003340728581,0.9003374975719506,0.8317578369399493,0.9981699966592714,0.9003374975719506,0.7777777777777778,0.7777777777777778,0 1 2,H00 H01 H10,1 2,H01 H10
top-k energy,0,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.00181621965020895,0.8997725040500144,0.8280457781866732,0.998183780349791,0.8997725040500144,0.6666666666666667,0.6666666666666667,0 1 2 6,H00 H01 H10 H03,1 2 6,H01 H10 H03
top-k energy,0,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0017982467543333769,0.8982813191399704,0.825872203575557,0.9982017532456666,0.8982813191399704,0.5555555555555556,0.5555555555555556,0 1 2 6 9,H00 H01 H10 H03 H30,1 2 6 9,H01 H10 H03 H30
top-k energy,0,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0016969252610579133,0.9090448759593663,0.8438290231366512,0.9983030747389421,0.9090448759593663,0.4444444444444444,0.4444444444444444,0 1 2 6 8 9,H00 H01 H10 H03 H21 H30,1 2 6 8 9,H01 H10 H03 H21 H30
top-k energy,0,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0014249950181692839,0.9207495306657271,0.8899221204163046,0.9985750049818307,0.9207495306657271,0.33333333333333337,0.33333333333333337,0 1 2 6 7 8 9,H00 H01 H10 H03 H12 H21 H30,1 2 6 7 8 9,H01 H10 H03 H12 H21 H30
top-k energy,0,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0011459214147180319,0.9388347048750956,0.9088080963509563,0.998854078585282,0.9388347048750956,0.2222222222222222,0.2222222222222222,0 1 2 4 6 7 8 9,H00 H01 H10 H11 H03 H12 H21 H30,1 2 4 6 7 8 9,H01 H10 H11 H03 H12 H21 H30
top-k energy,0,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0008872199105098844,0.9483666319519671,0.9344484434020562,0.9991127800894901,0.9483666319519671,0.11111111111111116,0.11111111111111116,0 1 2 4 5 6 7 8 9,H00 H01 H10 H11 H20 H03 H12 H21 H30,1 2 4 5 6 7 8 9,H01 H10 H11 H20 H03 H12 H21 H30
top-k energy,0,,9,9,10,9,1.0,1.0,1.0,0.0007124498952180147,0.957353216466382,0.9512082912030533,0.999287550104782,0.957353216466382,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,1,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015047318302094936,0.8414332089008815,0.8224375821054366,0.9984952681697905,0.8414332089008815,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10
top-k energy,1,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0015045134350657463,0.8416572697637835,0.8234542032127842,0.9984954865649343,0.8416572697637835,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
top-k energy,1,,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0015000402927398682,0.8442961925620769,0.8235344656317132,0.9984999597072601,0.8442961925620769,0.6666666666666667,0.6666666666666667,0 2 7 9,H00 H10 H12 H30,2 7 9,H10 H12 H30
top-k energy,1,,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0012842703144997358,0.8725621415552429,0.8466468107131231,0.9987157296855003,0.8725621415552429,0.5555555555555556,0.5555555555555556,0 1 2 7 9,H00 H01 H10 H12 H30,1 2 7 9,H01 H10 H12 H30
top-k energy,1,,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0012831700732931495,0.8722995028573041,0.8463127558288196,0.9987168299267069,0.8722995028573041,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30
top-k energy,1,,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0012247986160218716,0.8744863319995854,0.8577215814943188,0.9987752013839781,0.8744863319995854,0.33333333333333337,0.33333333333333337,0 1 2 3 6 7 9,H00 H01 H10 H02 H03 H12 H30,1 2 3 6 7 9,H01 H10 H02 H03 H12 H30
top-k energy,1,,7,7,8,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.000841683242470026,0.9048233330781338,0.9222605404035653,0.99915831675753,0.9048233330781338,0.2222222222222222,0.2222222222222222,0 1 2 3 5 6 7 9,H00 H01 H10 H02 H20 H03 H12 H30,1 2 3 5 6 7 9,H01 H10 H02 H20 H03 H12 H30
top-k energy,1,,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0007820137543603778,0.908782726147087,0.9348462848795009,0.9992179862456396,0.908782726147087,0.11111111111111116,0.11111111111111116,0 1 2 3 5 6 7 8 9,H00 H01 H10 H02 H20 H03 H12 H21 H30,1 2 3 5 6 7 8 9,H01 H10 H02 H20 H03 H12 H21 H30
top-k energy,1,,9,9,10,9,1.0,1.0,1.0,0.0006823450094088912,0.9224845588242682,0.9440626410508877,0.9993176549905911,0.9224845588242682,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30,1 2 3 4 5 6 7 8 9,H01 H10 H02 H11 H20 H03 H12 H21 H30
top-k energy,2,,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025366870686411858,0.8531191755743979,0.7643926647767161,0.9974633129313588,0.8531191755743979,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10
top-k energy,2,,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.002531039761379361,0.8535877082316375,0.7697674539026035,0.9974689602386206,0.8535877082316375,0.7777777777777778,0.7777777777777778,0 2 9,H00 H10 H30,2 9,H10 H30
