method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels
top_1,0,,1,1,0.1666666716337204,0.16666666666666666,0.012070810422301292,0.7107669510520421,0.9879291895776987,0.7107669510520421,0.8333333283662796,0.8333333333333334,0,H00
top_2,0,,2,2,0.3333333432674408,0.3333333333333333,0.008675621822476387,0.804071774232317,0.9913243781775236,0.804071774232317,0.6666666567325592,0.6666666666666667,0 1,H00 H01
top_3,0,,3,3,0.5,0.5,0.005018278956413269,0.905112051752192,0.9949817210435867,0.905112051752192,0.5,0.5,0 1 2,H00 H01 H10
top_5,0,,5,5,0.8333333134651184,0.8333333333333334,0.0027479142881929874,0.9486511407871924,0.997252085711807,0.9486511407871924,0.1666666865348816,0.16666666666666663,0 1 2 3 5,H00 H01 H10 H02 H20
top_6,0,,6,6,1.0,1.0,0.002277564024552703,0.9572614377595969,0.9977224359754473,0.9572614377595969,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20
top_1,1,,1,1,0.1666666716337204,0.16666666666666666,0.00195061054546386,0.9230899763618701,0.9980493894545361,0.9230899763618701,0.8333333283662796,0.8333333333333334,0,H00
top_2,1,,2,2,0.3333333432674408,0.3333333333333333,0.0013625952415168285,0.9673138481272748,0.9986374047584832,0.9673138481272748,0.6666666567325592,0.6666666666666667,0 2,H00 H10
top_3,1,,3,3,0.5,0.5,0.0007721984293311834,0.9797866595743676,0.9992278015706688,0.9797866595743676,0.5,0.5,0 1 2,H00 H01 H10
top_5,1,,5,5,0.8333333134651184,0.8333333333333334,0.00038720533484593034,0.9901124631335749,0.9996127946651541,0.9901124631335749,0.1666666865348816,0.16666666666666663,0 1 2 3 4,H00 H01 H10 H02 H11
top_6,1,,6,6,1.0,1.0,0.0003823742445092648,0.9918233317559992,0.9996176257554907,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20
top_1,2,,1,1,0.1666666716337204,0.16666666666666666,0.0007218157988972962,0.8724495298587359,0.9992781842011027,0.8724495298587359,0.8333333283662796,0.8333333333333334,0,H00
top_2,2,,2,2,0.3333333432674408,0.3333333333333333,0.0002635485725477338,0.9466531126809543,0.9997364514274523,0.9466531126809543,0.6666666567325592,0.6666666666666667,0 2,H00 H10
top_3,2,,3,3,0.5,0.5,0.0002052599156741053,0.9639250108828912,0.9997947400843259,0.9639250108828912,0.5,0.5,0 1 2,H00 H01 H10
top_5,2,,5,5,0.8333333134651184,0.8333333333333334,0.0001050500723067671,0.977954941564763,0.9998949499276932,0.977954941564763,0.1666666865348816,0.16666666666666663,0 1 2 4 5,H00 H01 H10 H11 H20
top_6,2,,6,6,1.0,1.0,9.150178811978549e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20
