N,method,n_solutions,mse_mean,mse_std,ssim_mean,ssim_std,k_mean,k_std,cost_mean,cost_std,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,hv_4d,hv_2d_quality_parsimony
2,energy,18,0.0024042515364270903,0.0033002245861035,0.9151210181797161,0.0732790007073235,3.5,1.7573375583870183,0.5833333358168602,0.2928895883260172,0.997710236631974,0.933796957326241,0.4166666641831398,0.4166666666666667,0.664,0.775258041098273
2,greedy,18,0.002123843072937705,0.0030235914807491,0.9219696629389307,0.0674973886073367,3.5,1.7573375583870183,0.5833333358168602,0.2928895883260172,0.9979772923114878,0.9407853703458476,0.4166666641831398,0.4166666666666667,0.6646,0.7763477918452765
2,random,54,0.052943224316772404,0.0692808741431879,0.6177066891022377,0.4182554534721558,3.5,1.7238613961706863,0.5833333358168602,0.2873102280468937,0.9495778816030738,0.6303129480635079,0.4166666641831398,0.4166666666666667,0.6572,0.7705458856828115
2,top_1,3,0.0051601328683317,0.0062280021012411,0.8187267760423983,0.1108954298640069,1.0,0.0,0.1666666716337204,0.0,0.995085587744446,0.8354354857575493,0.8333333283662796,0.8333333333333334,0.6396,0.738471981089496
2,top_2,3,0.003605617972789245,0.0045725856601518,0.8878926534465784,0.0888859557265325,2.0,0.0,0.3333333432674408,0.0,0.996566078121153,0.906012911680182,0.6666666567325592,0.6666666666666666,0.4222,0.6190808628014559
2,top_3,3,0.00209850805549644,0.0026304553283684,0.9306157492550874,0.0393422019259997,3.0,0.0,0.5,0.0,0.9980014208995271,0.9496079074031504,0.5,0.5,0.2372,0.4702975965956964
2,top_5,3,0.001134059393370855,0.00145128044718,0.9527947248586065,0.0213133734285084,5.0,0.0,0.8333333134651184,0.0,0.9989199434348848,0.9722395151618434,0.1666666865348816,0.1666666666666666,0.0274,0.15841799410137186
2,top_6,3,0.0009630040200135601,0.0011870986472506,0.9573377168108022,0.0177470422113066,6.0,0.0,1.0,0.0,0.9990828533142728,0.9768752212355124,0.0,0.0,0.0,0.0
3,energy,18,0.002243968100665284,0.0033002245861035,0.9431349268995034,0.0732790007073235,3.5,1.7573375583870183,0.5833333358168602,0.2928895883260172,0.997710236631974,0.933796957326241,0.4166666641831398,0.4166666666666667,0.664,0.8237116686669151
3,greedy,18,0.0019822535347418582,0.0030235914807491,0.9501932240493062,0.0674973886073367,3.5,1.7573375583870183,0.5833333358168602,0.2928895883260172,0.9979772923114878,0.9407853703458476,0.4166666641831398,0.4166666666666667,0.6646,0.8248695288356063
3,random,54,0.04941367602898757,0.0692808741431879,0.636616077544143,0.4182554534721558,3.5,1.7238613961706863,0.5833333358168602,0.2873102280468937,0.9495778816030738,0.6303129480635079,0.4166666641831398,0.4166666666666667,0.6572,0.8187050035379873
3,top_1,3,0.00481612401044292,0.0062280021012411,0.8437898406151249,0.1108954298640069,1.0,0.0,0.1666666716337204,0.0,0.995085587744446,0.8354354857575493,0.8333333283662796,0.8333333333333334,0.6396,0.7846264799075895
3,top_2,3,0.003365243441269962,0.0045725856601518,0.9150730407969839,0.0888859557265325,2.0,0.0,0.3333333432674408,0.0,0.996566078121153,0.906012911680182,0.6666666567325592,0.6666666666666666,0.4222,0.657773416726547
3,top_3,3,0.001958607518463344,0.0026304553283684,0.9591039864771819,0.0393422019259997,3.0,0.0,0.5,0.0,0.9980014208995271,0.9496079074031504,0.5,0.5,0.2372,0.49969119638292747
3,top_5,3,0.001058455433812798,0.00145128044718,0.9819619103134618,0.0213133734285084,5.0,0.0,0.8333333134651184,0.0,0.9989199434348848,0.9722395151618434,0.1666666865348816,0.1666666666666666,0.0274,0.1683191187327076
3,top_6,3,0.000898803752012656,0.0011870986472506,0.9866439734478676,0.0177470422113066,6.0,0.0,1.0,0.0,0.9990828533142728,0.9768752212355124,0.0,0.0,0.0,0.0
