N,method,n_solutions,mse_mean,mse_std,ssim_mean,ssim_std,k_mean,k_std,cost_mean,cost_std,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,hv_4d,hv_2d_quality_parsimony
2,energy,18,0.0024,0.0033,0.9151,0.0733,3.5,1.7573,0.5833,0.2929,0.9977,0.9338,0.4167,0.4167,0.664,0.7753
2,greedy,18,0.0021,0.003,0.922,0.0675,3.5,1.7573,0.5833,0.2929,0.998,0.9408,0.4167,0.4167,0.6646,0.7763
2,random,54,0.0529,0.0693,0.6177,0.4183,3.5,1.7239,0.5833,0.2873,0.9496,0.6303,0.4167,0.4167,0.6572,0.7705
2,top_1,3,0.0052,0.0062,0.8187,0.1109,1.0,0.0,0.1667,0.0,0.9951,0.8354,0.8333,0.8333,0.6396,0.7385
2,top_2,3,0.0036,0.0046,0.8879,0.0889,2.0,0.0,0.3333,0.0,0.9966,0.906,0.6667,0.6667,0.4222,0.6191
2,top_3,3,0.0021,0.0026,0.9306,0.0393,3.0,0.0,0.5,0.0,0.998,0.9496,0.5,0.5,0.2372,0.4703
2,top_5,3,0.0011,0.0015,0.9528,0.0213,5.0,0.0,0.8333,0.0,0.9989,0.9722,0.1667,0.1667,0.0274,0.1584
2,top_6,3,0.001,0.0012,0.9573,0.0177,6.0,0.0,1.0,0.0,0.9991,0.9769,0.0,0.0,0.0,0.0
3,energy,18,0.0022,0.0033,0.9431,0.0733,3.5,1.7573,0.5833,0.2929,0.9977,0.9338,0.4167,0.4167,0.664,0.8237
3,greedy,18,0.002,0.003,0.9502,0.0675,3.5,1.7573,0.5833,0.2929,0.998,0.9408,0.4167,0.4167,0.6646,0.8249
3,random,54,0.0494,0.0693,0.6366,0.4183,3.5,1.7239,0.5833,0.2873,0.9496,0.6303,0.4167,0.4167,0.6572,0.8187
3,top_1,3,0.0048,0.0062,0.8438,0.1109,1.0,0.0,0.1667,0.0,0.9951,0.8354,0.8333,0.8333,0.6396,0.7846
3,top_2,3,0.0034,0.0046,0.9151,0.0889,2.0,0.0,0.3333,0.0,0.9966,0.906,0.6667,0.6667,0.4222,0.6578
3,top_3,3,0.002,0.0026,0.9591,0.0393,3.0,0.0,0.5,0.0,0.998,0.9496,0.5,0.5,0.2372,0.4997
3,top_5,3,0.0011,0.0015,0.982,0.0213,5.0,0.0,0.8333,0.0,0.9989,0.9722,0.1667,0.1667,0.0274,0.1683
3,top_6,3,0.0009,0.0012,0.9866,0.0177,6.0,0.0,1.0,0.0,0.9991,0.9769,0.0,0.0,0.0,0.0
