method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,is_pareto_global,is_pareto_by_method
random,0,0.0,1,1,0.1666666716337204,0.1666666666666666,0.1127008944749832,0.090917966913996,0.8872991055250168,0.090917966913996,0.8333333283662796,0.8333333333333334,5,H20,False,False
random,0,1.0,1,1,0.1666666716337204,0.1666666666666666,0.1116016805171966,0.0845607009491767,0.8883983194828033,0.0845607009491767,0.8333333283662796,0.8333333333333334,3,H02,False,False
random,0,2.0,1,1,0.1666666716337204,0.1666666666666666,0.1116016805171966,0.0845607009491767,0.8883983194828033,0.0845607009491767,0.8333333283662796,0.8333333333333334,3,H02,False,False
random,0,0.0,2,2,0.3333333432674408,0.3333333333333333,0.0701290816068649,0.3675726405641108,0.9298709183931352,0.3675726405641108,0.6666666567325592,0.6666666666666667,1 5,H01 H20,False,False
random,0,1.0,2,2,0.3333333432674408,0.3333333333333333,0.0065729138441383,0.8735402654966659,0.9934270861558616,0.8735402654966659,0.6666666567325592,0.6666666666666667,0 5,H00 H20,False,False
random,0,2.0,2,2,0.3333333432674408,0.3333333333333333,0.1046202331781387,0.141255731246649,0.8953797668218613,0.141255731246649,0.6666666567325592,0.6666666666666667,3 4,H02 H11,False,False
random,0,0.0,3,3,0.5,0.5,0.093245081603527,0.2121204929646744,0.9067549183964728,0.2121204929646744,0.5,0.5,2 3 5,H10 H02 H20,False,False
random,0,1.0,3,3,0.5,0.5,0.1060828939080238,0.1397494488373707,0.8939171060919762,0.1397494488373707,0.5,0.5,2 4 5,H10 H11 H20,False,False
random,0,2.0,3,3,0.5,0.5,0.0062670395709574,0.8832970458198581,0.9937329604290426,0.8832970458198581,0.5,0.5,0 2 5,H00 H10 H20,False,False
random,0,0.0,4,4,0.6666666865348816,0.6666666666666666,0.002959253732115,0.9463454290078236,0.997040746267885,0.9463454290078236,0.3333333134651184,0.3333333333333333,0 3 4 5,H00 H02 H11 H20,False,False
random,0,1.0,4,4,0.6666666865348816,0.6666666666666666,0.0040251025930047,0.9277037672213548,0.9959748974069952,0.9277037672213548,0.3333333134651184,0.3333333333333333,0 1 2 4,H00 H01 H10 H11,False,False
random,0,2.0,4,4,0.6666666865348816,0.6666666666666666,0.002959253732115,0.9463454290078236,0.997040746267885,0.9463454290078236,0.3333333134651184,0.3333333333333333,0 3 4 5,H00 H02 H11 H20,False,False
random,0,0.0,5,5,0.8333333134651184,0.8333333333333334,0.0032894425094127,0.9399661815907124,0.9967105574905872,0.9399661815907124,0.1666666865348816,0.1666666666666666,0 1 2 3 4,H00 H01 H10 H02 H11,False,False
random,0,1.0,5,5,0.8333333134651184,0.8333333333333334,0.0671983659267425,0.3968333113461887,0.9328016340732574,0.3968333113461887,0.1666666865348816,0.1666666666666666,1 2 3 4 5,H01 H10 H02 H11 H20,False,False
random,0,2.0,5,5,0.8333333134651184,0.8333333333333334,0.0671983659267425,0.3968333113461887,0.9328016340732574,0.3968333113461887,0.1666666865348816,0.1666666666666666,1 2 3 4 5,H01 H10 H02 H11 H20,False,False
