method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,is_pareto_global,is_pareto_by_method
random,1,1.0,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
random,1,2.0,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
random,1,1.0,4,4,0.6666666865348816,0.6666666666666666,0.0004105942789465,0.9888288062176056,0.9995894057210536,0.9888288062176056,0.3333333134651184,0.3333333333333333,0 2 3 4,H00 H10 H02 H11,True,True
random,1,0.0,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,1,1.0,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,1,2.0,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,2,0.0,2,2,0.3333333432674408,0.3333333333333333,0.0002635485725477,0.9466531126809544,0.9997364514274524,0.9466531126809544,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
random,2,1.0,3,3,0.5,0.5,0.000133574969368,0.9685110840395358,0.999866425030632,0.9685110840395358,0.5,0.5,0 4 5,H00 H11 H20,True,True
random,2,0.0,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,2,1.0,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,2,2.0,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
energy,1,,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
energy,1,,2,2,0.3333333432674408,0.3333333333333333,0.0013625952415168,0.9673138481272748,0.9986374047584832,0.9673138481272748,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
energy,1,,5,5,0.8333333134651184,0.8333333333333334,0.0003872053348459,0.9901124631335748,0.999612794665154,0.9901124631335748,0.1666666865348816,0.1666666666666666,0 1 2 3 4,H00 H01 H10 H02 H11,True,True
energy,1,,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
energy,2,,1,1,0.1666666716337204,0.1666666666666666,0.0007218157988972,0.8724495298587359,0.9992781842011028,0.8724495298587359,0.8333333283662796,0.8333333333333334,0,H00,True,True
energy,2,,2,2,0.3333333432674408,0.3333333333333333,0.0002635485725477,0.9466531126809544,0.9997364514274524,0.9466531126809544,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
energy,2,,4,4,0.6666666865348816,0.6666666666666666,0.0001232594368048,0.9728061832796188,0.9998767405631952,0.9728061832796188,0.3333333134651184,0.3333333333333333,0 1 2 5,H00 H01 H10 H20,True,True
energy,2,,5,5,0.8333333134651184,0.8333333333333334,0.0001050500723067,0.977954941564763,0.9998949499276932,0.977954941564763,0.1666666865348816,0.1666666666666666,0 1 2 4 5,H00 H01 H10 H11 H20,True,True
energy,2,,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
top_1,1,,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
top_2,1,,2,2,0.3333333432674408,0.3333333333333333,0.0013625952415168,0.9673138481272748,0.9986374047584832,0.9673138481272748,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
top_5,1,,5,5,0.8333333134651184,0.8333333333333334,0.0003872053348459,0.9901124631335748,0.999612794665154,0.9901124631335748,0.1666666865348816,0.1666666666666666,0 1 2 3 4,H00 H01 H10 H02 H11,True,True
top_6,1,,6,6,1.0,1.0,0.0003823742445092,0.9918233317559992,0.9996176257554908,0.9918233317559992,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
top_1,2,,1,1,0.1666666716337204,0.1666666666666666,0.0007218157988972,0.8724495298587359,0.9992781842011028,0.8724495298587359,0.8333333283662796,0.8333333333333334,0,H00,True,True
top_2,2,,2,2,0.3333333432674408,0.3333333333333333,0.0002635485725477,0.9466531126809544,0.9997364514274524,0.9466531126809544,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
top_5,2,,5,5,0.8333333134651184,0.8333333333333334,0.0001050500723067,0.977954941564763,0.9998949499276932,0.977954941564763,0.1666666865348816,0.1666666666666666,0 1 2 4 5,H00 H01 H10 H11 H20,True,True
top_6,2,,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
greedy,1,,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
greedy,1,,2,2,0.3333333432674408,0.3333333333333333,0.0013625952415168,0.9673138481272748,0.9986374047584832,0.9673138481272748,0.6666666567325592,0.6666666666666667,0 2,H00 H10,True,True
greedy,1,,3,3,0.5,0.5,0.0004802675975952,0.9828286051926528,0.9995197324024048,0.9828286051926528,0.5,0.5,0 2 3,H00 H10 H02,True,True
greedy,1,,4,4,0.6666666865348816,0.6666666666666666,0.0004105942789465,0.9888288062176056,0.9995894057210536,0.9888288062176056,0.3333333134651184,0.3333333333333333,0 2 3 4,H00 H10 H02 H11,True,True
greedy,1,,5,5,0.8333333134651184,0.8333333333333334,0.0003872053348459,0.9901124631335748,0.999612794665154,0.9901124631335748,0.1666666865348816,0.1666666666666666,0 1 2 3 4,H00 H01 H10 H02 H11,True,True
