method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,is_pareto_global,is_pareto_by_method
random,0,0.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278669971972,0.8500404591837125,0.813496134475287,0.9970721330028028,0.8500404591837125,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,,False,False
random,0,1.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,False,False
random,0,2.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027054571546614,0.8537043106435453,0.8127683219850919,0.9972945428453386,0.8537043106435453,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,False,False
random,0,3.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025881151668727,0.8486830971483916,0.8491102713954395,0.9974118848331271,0.8486830971483916,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,False,False
random,0,4.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025881151668727,0.8486830971483916,0.8491102713954395,0.9974118848331271,0.8486830971483916,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,False,False
random,0,5.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448,0.8590301911520476,0.7909125031451552,0.9973345890175552,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,,False,False
random,0,6.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448,0.8590301911520476,0.7909125031451552,0.9973345890175552,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,,False,False
random,0,7.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448,0.8590301911520476,0.7909125031451552,0.9973345890175552,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,,False,False
random,0,8.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0028813623357564,0.8520406975225943,0.7716052496409191,0.9971186376642436,0.8520406975225943,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,False,False
random,0,9.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278669971972,0.8500404591837125,0.813496134475287,0.9970721330028028,0.8500404591837125,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,,False,False
random,0,10.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,False,False
random,0,11.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0033729881979525,0.8254801082340657,0.7524831108292741,0.9966270118020476,0.8254801082340657,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,False,False
random,0,12.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027054571546614,0.8537043106435453,0.8127683219850919,0.9972945428453386,0.8537043106435453,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,False,False
random,0,13.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,False,False
random,0,14.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0033729881979525,0.8254801082340657,0.7524831108292741,0.9966270118020476,0.8254801082340657,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,False,False
random,0,15.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0028483499772846,0.8429630650381815,0.8437815120646707,0.9971516500227152,0.8429630650381815,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,,False,False
random,0,16.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,False,False
random,0,17.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0027054571546614,0.8537043106435453,0.8127683219850919,0.9972945428453386,0.8537043106435453,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,False,False
random,0,18.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,False,False
random,0,19.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0033729881979525,0.8254801082340657,0.7524831108292741,0.9966270118020476,0.8254801082340657,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,False,False
random,0,0.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.001616918365471,0.9034515482314844,0.895703584790878,0.9983830816345288,0.9034515482314844,0.7777777777777778,0.7777777777777778,0 3 8,H00 H02 H21,3 8,H02 H21,,,,,False,False
random,0,1.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0019004107452929,0.9025196423410804,0.8481264378516253,0.9980995892547072,0.9025196423410804,0.7777777777777778,0.7777777777777778,0 1 4,H00 H01 H11,1 4,H01 H11,,,,,False,False
random,0,2.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0021029773633927,0.8850778863719896,0.8579773977583657,0.9978970226366072,0.8850778863719896,0.7777777777777778,0.7777777777777778,0 1 5,H00 H01 H20,1 5,H01 H20,,,,,False,False
random,0,3.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0028333615045994,0.8570937598600328,0.8207167440278825,0.9971666384954004,0.8570937598600328,0.7777777777777778,0.7777777777777778,0 6 8,H00 H03 H21,6 8,H03 H21,,,,,False,False
random,0,4.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0026211412623524,0.865047222997785,0.8087956700482883,0.9973788587376476,0.865047222997785,0.7777777777777778,0.7777777777777778,0 1 8,H00 H01 H21,1 8,H01 H21,,,,,False,False
random,0,5.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0021029773633927,0.8850778863719896,0.8579773977583657,0.9978970226366072,0.8850778863719896,0.7777777777777778,0.7777777777777778,0 1 5,H00 H01 H20,1 5,H01 H20,,,,,False,False
random,0,6.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0020768567919731,0.8951804679724322,0.8527088043958505,0.9979231432080268,0.8951804679724322,0.7777777777777778,0.7777777777777778,0 4 9,H00 H11 H30,4 9,H11 H30,,,,,False,False
random,0,7.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0022480031475424,0.8803863334342147,0.8126605255011362,0.9977519968524576,0.8803863334342147,0.7777777777777778,0.7777777777777778,0 1 9,H00 H01 H30,1 9,H01 H30,,,,,False,False
random,0,8.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0015726943966001,0.9092010947633158,0.8794446274872725,0.9984273056034,0.9092010947633158,0.7777777777777778,0.7777777777777778,0 1 7,H00 H01 H12,1 7,H01 H12,,,,,False,False
random,0,9.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0018146344227716,0.8847815418144185,0.8636921218265202,0.9981853655772284,0.8847815418144185,0.7777777777777778,0.7777777777777778,0 3 6,H00 H02 H03,3 6,H02 H03,,,,,False,False
random,0,10.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.001804077764973,0.905543759066554,0.8772943321096195,0.998195922235027,0.905543759066554,0.7777777777777778,0.7777777777777778,0 4 7,H00 H11 H12,4 7,H11 H12,,,,,False,False
random,0,11.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0022563613019883,0.885260854416951,0.8331979094578129,0.9977436386980116,0.885260854416951,0.7777777777777778,0.7777777777777778,0 8 9,H00 H21 H30,8 9,H21 H30,,,,,False,False
random,0,12.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.001804077764973,0.905543759066554,0.8772943321096195,0.998195922235027,0.905543759066554,0.7777777777777778,0.7777777777777778,0 4 7,H00 H11 H12,4 7,H11 H12,,,,,False,False
random,0,13.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0028333615045994,0.8570937598600328,0.8207167440278825,0.9971666384954004,0.8570937598600328,0.7777777777777778,0.7777777777777778,0 6 8,H00 H03 H21,6 8,H03 H21,,,,,False,False
random,0,14.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0019047054229304,0.9017776424302216,0.8622948475749094,0.9980952945770696,0.9017776424302216,0.7777777777777778,0.7777777777777778,0 4 6,H00 H11 H03,4 6,H11 H03,,,,,False,False
random,0,15.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0022397069260478,0.8776619884182171,0.819483847540638,0.9977602930739522,0.8776619884182171,0.7777777777777778,0.7777777777777778,0 2 6,H00 H10 H03,2 6,H10 H03,,,,,False,False
random,0,16.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0016457510646432,0.9046121462426556,0.8929991152297932,0.9983542489353568,0.9046121462426556,0.7777777777777778,0.7777777777777778,0 5 7,H00 H20 H12,5 7,H20 H12,,,,,False,False
random,0,17.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0015426067402586,0.9136373948009062,0.9012585901027236,0.9984573932597414,0.9136373948009062,0.7777777777777778,0.7777777777777778,0 3 4,H00 H02 H11,3 4,H02 H11,,,,,False,False
random,0,18.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.00268698297441,0.8556391025331939,0.8004404723013525,0.99731301702559,0.8556391025331939,0.7777777777777778,0.7777777777777778,0 6 9,H00 H03 H30,6 9,H03 H30,,,,,False,False
random,0,19.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0024969782680273,0.8649554187819521,0.8416388482388502,0.9975030217319728,0.8649554187819521,0.7777777777777778,0.7777777777777778,0 5 8,H00 H20 H21,5 8,H20 H21,,,,,False,False
random,0,0.0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014144913293421,0.9154424070957584,0.9193507555484424,0.998585508670658,0.9154424070957584,0.6666666666666667,0.6666666666666667,0 3 5 8,H00 H02 H20 H21,3 5 8,H02 H20 H21,,,,,False,False
random,0,1.0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001451876014471,0.9210643459833476,0.895245614004238,0.998548123985529,0.9210643459833476,0.6666666666666667,0.6666666666666667,0 4 5 8,H00 H11 H20 H21,4 5 8,H11 H20 H21,,,,,False,False
random,0,2.0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012945693451911,0.9245523680333716,0.9151297034182918,0.9987054306548088,0.9245523680333716,0.6666666666666667,0.6666666666666667,0 3 8 9,H00 H02 H21 H30,3 8 9,H02 H21 H30,,,,,False,False
