method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,is_pareto_global,is_pareto_by_method
random,4,13.0,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0004085298569407,0.9604579759196916,0.9470415173494704,0.9995914701430592,0.9604579759196916,0.5555555555555556,0.5555555555555556,0 1 3 4 5,H00 H01 H02 H11 H20,1 3 4 5,H01 H02 H11 H20,,,,,False,True
random,6,19.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0008360092760995,0.9240042881488658,0.8733837660484747,0.9991639907239004,0.9240042881488658,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,True,True
random,6,12.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0005874915514141,0.9488225226045788,0.9235264681634248,0.999412508448586,0.9488225226045788,0.7777777777777778,0.7777777777777778,0 2 8,H00 H10 H21,2 8,H10 H21,,,,,True,True
random,6,14.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0005874915514141,0.9488225226045788,0.9235264681634248,0.999412508448586,0.9488225226045788,0.7777777777777778,0.7777777777777778,0 2 8,H00 H10 H21,2 8,H10 H21,,,,,True,True
random,6,16.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.000544280570466,0.94660253477295,0.9276776366776928,0.999455719429534,0.94660253477295,0.7777777777777778,0.7777777777777778,0 2 5,H00 H10 H20,2 5,H10 H20,,,,,True,True
random,6,2.0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0004395798023324,0.959228355131875,0.9448941378728272,0.9995604201976676,0.959228355131875,0.6666666666666667,0.6666666666666667,0 2 4 5,H00 H10 H11 H20,2 4 5,H10 H11 H20,,,,,True,True
random,6,1.0,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0004175671492703,0.9618563344978974,0.9492626926883312,0.9995824328507296,0.9618563344978974,0.5555555555555556,0.5555555555555556,0 2 4 5 8,H00 H10 H11 H20 H21,2 4 5 8,H10 H11 H20 H21,,,,,False,True
random,6,12.0,4,4,5,4,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0004175671492703,0.9618563344978974,0.9492626926883312,0.9995824328507296,0.9618563344978974,0.5555555555555556,0.5555555555555556,0 2 4 5 8,H00 H10 H11 H20 H21,2 4 5 8,H10 H11 H20 H21,,,,,False,True
random,6,3.0,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0003300613898318,0.969508886363858,0.9616729283146156,0.9996699386101682,0.969508886363858,0.4444444444444444,0.4444444444444444,0 3 4 5 7 9,H00 H02 H11 H20 H12 H30,3 4 5 7 9,H02 H11 H20 H12 H30,,,,,True,True
random,6,6.0,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0003119042958132,0.9710910174636864,0.9644699434355856,0.9996880957041868,0.9710910174636864,0.3333333333333333,0.3333333333333333,0 3 4 5 6 8 9,H00 H02 H11 H20 H03 H21 H30,3 4 5 6 8 9,H02 H11 H20 H03 H21 H30,,,,,True,True
