method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,is_pareto_global,is_pareto_by_method
random,6,19.0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0008360092760995,0.9240033669124816,0.873383759523798,0.9991639907239004,0.9240033669124816,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,True,True
random,6,12.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0005874915514141,0.9488210503928868,0.9235264782152472,0.999412508448586,0.9488210503928868,0.7777777777777778,0.7777777777777778,0 2 8,H00 H10 H21,2 8,H10 H21,,,,,True,True
random,6,14.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0005874915514141,0.9488210503928868,0.9235264782152472,0.999412508448586,0.9488210503928868,0.7777777777777778,0.7777777777777778,0 2 8,H00 H10 H21,2 8,H10 H21,,,,,True,True
random,6,16.0,2,2,3,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.000544280570466,0.9466023426613684,0.9276776386216884,0.999455719429534,0.9466023426613684,0.7777777777777778,0.7777777777777778,0 2 5,H00 H10 H20,2 5,H10 H20,,,,,True,True
random,6,2.0,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0004395797441247,0.9592280613079084,0.9448941529168124,0.9995604202558752,0.9592280613079084,0.6666666666666667,0.6666666666666667,0 2 4 5,H00 H10 H11 H20,2 4 5,H10 H11 H20,,,,,True,True
random,6,3.0,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0003300613607279,0.969509712961922,0.9616729332577096,0.999669938639272,0.969509712961922,0.4444444444444444,0.4444444444444444,0 3 4 5 7 9,H00 H02 H11 H20 H12 H30,3 4 5 7 9,H02 H11 H20 H12 H30,,,,,True,True
random,6,6.0,6,6,7,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0003119042376056,0.9710911889067728,0.9644699519992832,0.9996880957623944,0.9710911889067728,0.3333333333333333,0.3333333333333333,0 3 4 5 6 8 9,H00 H02 H11 H20 H03 H21 H30,3 4 5 6 8 9,H02 H11 H20 H03 H21 H30,,,,,True,True
random,6,5.0,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0003109155222773,0.9710754795923529,0.9647958172374924,0.9996890844777226,0.9710754795923529,0.1111111111111111,0.1111111111111111,0 2 3 4 5 6 7 8 9,H00 H10 H02 H11 H20 H03 H12 H21 H30,2 3 4 5 6 7 8 9,H10 H02 H11 H20 H03 H12 H21 H30,,,,,True,True
random,6,6.0,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0003066459030378,0.9706874578553346,0.9658570573982512,0.999693354096962,0.9706874578553346,0.1111111111111111,0.1111111111111111,0 1 2 3 4 5 6 8 9,H00 H01 H10 H02 H11 H20 H03 H21 H30,1 2 3 4 5 6 8 9,H01 H10 H02 H11 H20 H03 H21 H30,,,,,True,True
random,6,7.0,8,8,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0003066459030378,0.9706874578553346,0.9658570573982512,0.999693354096962,0.9706874578553346,0.1111111111111111,0.1111111111111111,0 1 2 3 4 5 6 8 9,H00 H01 H10 H02 H11 H20 H03 H21 H30,1 2 3 4 5 6 8 9,H01 H10 H02 H11 H20 H03 H21 H30,,,,,True,True
