figure,image_id,variant,source,mse,ssim,k,cost,selected_indices,selected_labels,method
fig2_selection_example,0,high_fidelity,Envelope-DQN: high_fidelity,0.002522,0.815069,2,0.2,0 4,H00 H11,
fig2_selection_example,0,balanced,Envelope-DQN: mse_ssim_balance,0.002522,0.815069,2,0.2,0 4,H00 H11,
fig2_selection_example,0,compact,Envelope-DQN: compact,0.005019,0.734451,1,0.1,0,H00,
fig6_method_comparison,0,,Random,0.293643,0.1061,5,0.5,2 3 4 5 7,H10 H02 H11 H20 H12,Random
fig6_method_comparison,0,,Energy top-k,0.002312,0.851685,5,0.5,0 1 6 2 9,H00 H01 H03 H10 H30,Energy top-k
fig6_method_comparison,0,,Greedy,0.001142,0.911678,5,0.5,0 4 5 3 9,H00 H11 H20 H02 H30,Greedy
fig6_method_comparison,0,,Envelope-DQN: high_fidelity,0.002522,0.815069,2,0.2,0 4,H00 H11,Envelope-DQN
fig6_method_comparison,1,,Random,0.000139,0.953963,5,0.5,0 4 5 8 9,H00 H11 H20 H21 H30,Random
fig6_method_comparison,1,,Energy top-k,0.000249,0.940594,5,0.5,0 2 9 1 7,H00 H10 H30 H01 H12,Energy top-k
fig6_method_comparison,1,,Greedy,0.000122,0.964445,5,0.5,0 2 5 4 3,H00 H10 H20 H11 H02,Greedy
fig6_method_comparison,1,,Envelope-DQN: high_fidelity,0.000323,0.914279,2,0.2,0 4,H00 H11,Envelope-DQN
fig6_method_comparison,2,,Random,0.001271,0.906776,5,0.5,0 1 3 4 5,H00 H01 H02 H11 H20,Random
fig6_method_comparison,2,,Energy top-k,0.001443,0.887898,5,0.5,0 1 3 6 8,H00 H01 H02 H03 H21,Energy top-k
fig6_method_comparison,2,,Greedy,0.001249,0.909528,5,0.5,0 3 5 4 6,H00 H02 H20 H11 H03,Greedy
fig6_method_comparison,2,,Envelope-DQN: high_fidelity,0.003835,0.640996,2,0.2,0 4,H00 H11,Envelope-DQN
