episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1,5,0.9988125,-0.17306143045425415,,0.5198638439178467,0.05116222553956488,4,0.26666666666666666,8 4 2 13 15
2,15,0.9964375,-0.1623927801847458,,0.0004990771412849426,0.9474646213080171,10,0.6666666666666666,11 4 13 8 0 1 14 7 6 2
3,20,0.99525,-0.1042647436261177,,0.35132986307144165,0.07050610610643332,4,0.26666666666666666,10 12 1 5 15
4,27,0.9935875,0.31212058663368225,,0.0007546874112449586,0.9443926044012222,6,0.4,10 14 1 5 4 0 15
5,37,0.9912125,0.23614861071109772,,0.0004145197744946927,0.9611531651615388,10,0.6666666666666666,4 5 12 7 11 9 6 14 0 1
6,42,0.990025,0.32563573122024536,,0.0012243804521858692,0.8697347548191173,4,0.26666666666666666,13 6 11 0 15
7,49,0.9883625,0.3590397536754608,,0.000752578373067081,0.9012596541827413,6,0.4,1 14 10 0 6 12 15
8,53,0.9874125,-0.0037468113005161285,,0.31403908133506775,0.06747218947284972,3,0.2,3 8 5 15
9,63,0.9850375,0.349975049495697,,0.00020206125918775797,0.9751662594951716,10,0.6666666666666666,13 11 3 12 9 8 1 10 14 0
10,65,0.9845625,-0.037775762379169464,,0.32571595907211304,0.040082865825121355,1,0.06666666666666667,13 15
11,70,0.983375,-0.13966959714889526,,0.21738207340240479,0.0779633169324011,4,0.26666666666666666,5 14 4 3 15
12,73,0.9826625,-0.08326295018196106,,0.23986151814460754,0.042982684951933796,2,0.13333333333333333,4 2 15
13,79,0.9812375,0.16409194469451904,,0.0008910037577152252,0.9268273955186681,5,0.3333333333333333,2 10 5 0 14 15
14,83,0.9802875,-0.09109998494386673,,0.3380337953567505,0.09370056611890382,3,0.2,9 1 14 15
15,93,0.9779125,-0.44388002157211304,,0.4223490357398987,0.08889407869959515,10,0.6666666666666666,4 3 1 2 14 10 8 6 13 11
16,96,0.9772,-0.0328211635351181,,0.3633543848991394,0.14334138159285958,2,0.13333333333333333,1 9 15
17,98,0.976725,-0.012416554614901543,,0.20211821794509888,0.09896466915432744,1,0.06666666666666667,2 15
18,104,0.9753000000000001,0.20232868194580078,,0.0003857144038192928,0.9616007368643984,5,0.3333333333333333,0 13 12 2 1 15
19,114,0.972925,0.010974034667015076,,0.00048224307829514146,0.9604067749096863,9,0.6,11 0 14 6 7 10 1 4 12 15
20,116,0.97245,-0.021151740103960037,,0.14505738019943237,0.13194680125456557,1,0.06666666666666667,9 15
21,120,0.9715,-0.023664359003305435,,0.32851362228393555,0.06336182204557554,3,0.2,4 14 8 15
22,130,0.969125,-0.4478457272052765,0.01336924017717441,0.304280161857605,0.0848473268066272,10,0.6666666666666666,10 13 1 9 11 5 12 7 14 4
23,135,0.9679375,0.0777953490614891,0.009432591963559389,0.0013220638502389193,0.8997004768599653,4,0.26666666666666666,1 7 0 10 15
24,140,0.96675,0.007327310740947723,0.005983985308557749,0.2867492139339447,0.10506430889432851,4,0.26666666666666666,5 9 2 14 15
25,143,0.9660375,-0.01762007549405098,0.004254133440554142,0.2798377275466919,0.04615874844016665,2,0.13333333333333333,8 12 15
26,153,0.9636625,-0.23883743584156036,0.0025386262219399213,0.0002952084760181606,0.9597536182998903,10,0.6666666666666666,1 5 7 10 14 4 2 3 13 0
27,162,0.961525,-0.22532755136489868,0.0013730600605615312,0.234156996011734,0.11554185821201031,8,0.5333333333333333,2 1 11 10 13 4 3 8 15
28,171,0.9593875,0.28620362281799316,0.0010851187851383453,0.0007726475596427917,0.924346095440504,8,0.5333333333333333,0 10 7 12 9 8 14 11 15
29,181,0.9570125,-0.14693741500377655,0.00077675124630332,0.0011171848746016622,0.9387225564237015,10,0.6666666666666666,0 7 13 11 10 4 6 5 9 1
30,191,0.9546375,-0.12214145064353943,0.0006160551041830331,0.000835552578791976,0.9342211980846634,10,0.6666666666666666,6 12 5 11 0 1 2 9 8 10
31,197,0.9532125,-0.20224574208259583,0.0004987952076286698,0.29979634284973145,0.13707466995440382,5,0.3333333333333333,14 2 10 8 7 15
32,202,0.952025,-0.0050849393010139465,0.00045820591039955614,0.38683220744132996,0.08551269265428683,4,0.26666666666666666,1 10 6 4 15
33,212,0.94965,0.31116631627082825,0.0004680082347476855,0.0006070296512916684,0.9227791333063887,10,0.6666666666666666,9 14 1 11 12 6 0 13 3 10
34,216,0.9487,-0.13069164752960205,0.0004015740705654025,0.5303747057914734,0.03302726736963528,3,0.2,7 4 12 15
35,226,0.946325,-0.06425969302654266,0.00037911388790234923,0.27796757221221924,0.11939670782650137,10,0.6666666666666666,13 9 14 2 4 3 6 7 1 11
36,232,0.9449,0.19569987058639526,0.00036239046797466773,0.0007858822355046868,0.9354854418378983,5,0.3333333333333333,2 0 9 7 1 15
