method,requested_budget,effective_budget,repeats,hv_mean,hv_std,num_available_solutions
Envelope-DQN,50,10,5,0.703384,0.009009923973042174,50
energy,50,10,5,0.590448,0.07047808255053482,100
greedy,50,10,5,0.682118,0.05779179803397712,100
random,50,10,5,0.40269199999999994,0.1815738907993107,2000
top_1,50,10,5,0.702234,0.00044404954678504684,10
top_10,50,10,5,0.0,0.0,10
top_2,50,10,5,0.5737,0.0006209267267560714,10
top_3,50,10,5,0.451126,0.0007619908135929235,10
top_5,50,10,5,0.23386800000000002,0.0008221435397787854,10
top_7,50,10,5,0.084786,0.00034954255821001244,10
