method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,reconstruction_mode
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003357241628691554,0.8416103132326027,0.7880225491289977,0.9966427583713084,0.8416103132326027,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,,direct_sum
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003496924415230751,0.8332973218054536,0.7749153938137633,0.9965030755847692,0.8332973218054536,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0036199886817485094,0.8492985841520263,0.8119694102781742,0.9963800113182515,0.8492985841520263,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,direct_sum
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00399539340287447,0.8522308629236487,0.834138990903508,0.9960046065971255,0.8522308629236487,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,direct_sum
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00399539340287447,0.8522308629236487,0.834138990903508,0.9960046065971255,0.8522308629236487,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,,direct_sum
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0030865618027746677,0.8617195921986587,0.7908233307324287,0.9969134381972253,0.8617195921986587,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,,direct_sum
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0030865618027746677,0.8617195921986587,0.7908233307324287,0.9969134381972253,0.8617195921986587,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,,direct_sum
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0030865618027746677,0.8617195921986587,0.7908233307324287,0.9969134381972253,0.8617195921986587,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,,direct_sum
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003754981327801943,0.8542003064204836,0.7709693134224772,0.9962450186721981,0.8542003064204836,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,,direct_sum
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003357241628691554,0.8416103132326027,0.7880225491289977,0.9966427583713084,0.8416103132326027,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,,direct_sum
random,0,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003496924415230751,0.8332973218054536,0.7749153938137633,0.9965030755847692,0.8332973218054536,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
random,0,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00520150875672698,0.8286917658719842,0.7507827068950608,0.994798491243273,0.8286917658719842,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,direct_sum
random,0,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0036199886817485094,0.8492985841520263,0.8119694102781742,0.9963800113182515,0.8492985841520263,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,,direct_sum
random,0,13,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003496924415230751,0.8332973218054536,0.7749153938137633,0.9965030755847692,0.8332973218054536,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
random,0,14,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00520150875672698,0.8286917658719842,0.7507827068950608,0.994798491243273,0.8286917658719842,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,,direct_sum
random,0,15,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.004442064557224512,0.8369942847841423,0.808421473817307,0.9955579354427755,0.8369942847841423,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,,,,direct_sum
random,0,16,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003496924415230751,0.8332973218054536,0.7749153938137633,0.9965030755847692,0.8332973218054536,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,,direct_sum
