method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023713766131550074,0.8813675224657007,0.8416883492456311,0.997628623386845,0.8813675224657007,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278669971972704,0.8500404591837125,0.813496134475287,0.9970721330028027,0.8500404591837125,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,
top-k energy,,high_fidelity,,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448824,0.8590301911520476,0.7909125031451552,0.9973345890175551,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
greedy,,high_fidelity,,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023713766131550074,0.8813675224657007,0.8416883492456311,0.997628623386845,0.8813675224657007,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017911435570567846,0.8343427604093138,0.8336200956800563,0.9982088564429432,0.8343427604093138,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00222460157237947,0.7963938657377096,0.7849879417449102,0.9977753984276205,0.7963938657377096,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,
top-k energy,,high_fidelity,,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015047318302094936,0.8414339700295157,0.8224375514178976,0.9984952681697905,0.8414339700295157,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,high_fidelity,,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015798253007233143,0.8434021819325321,0.8156463025269328,0.9984201746992767,0.8434021819325321,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025476706214249134,0.8589253900716619,0.7958324883788817,0.9974523293785751,0.8589253900716619,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023785727098584175,0.8614933426014627,0.8222828286886092,0.9976214272901416,0.8614933426014627,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
top-k energy,,high_fidelity,,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0025366870686411858,0.8531192173704053,0.7643926628777016,0.9974633129313588,0.8531192173704053,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,high_fidelity,,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023785727098584175,0.8614933426014627,0.8222828286886092,0.9976214272901416,0.8614933426014627,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
Envelope-DQN,0.0,high_fidelity,0.550 0.250 0.100 0.100,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018813424976542592,0.8687248382092798,0.8392101241978032,0.9981186575023457,0.8687248382092798,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,high_fidelity,,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001924615353345871,0.8473481196781685,0.8038445318655341,0.9980753846466541,0.8473481196781685,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,
top-k energy,,high_fidelity,,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0021134645212441683,0.8512975246873634,0.7906227055825796,0.9978865354787558,0.8512975246873634,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,high_fidelity,,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018813424976542592,0.8687248382092798,0.8392101241978032,0.9981186575023457,0.8687248382092798,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
