image_id,k,selected_indices,mse,ssim
0,1,0,0.0022888160310685635,0.7430407462362533
0,3,0 2 9,0.0013003787025809288,0.8422434988888988
0,5,0 2 9 7 6,0.0011460762470960617,0.8690962565267696
0,10,0 2 9 7 6 1 4 8 5 3,0.0005774699384346604,0.9361608125154244
1,1,0,0.0021720165386795998,0.7463474946271509
1,3,0 9 2,0.0016847489168867469,0.8166970526987818
1,5,0 9 2 6 1,0.001430407864972949,0.8457870144888705
1,10,0 9 2 6 1 7 8 5 3 4,0.0008903128327801824,0.9111763548004075
2,1,0,0.003157365135848522,0.6812835540576793
2,3,0 2 9,0.0017523968126624823,0.815785551959744
2,5,0 2 9 7 1,0.001538446289487183,0.8422659436090186
2,10,0 2 9 7 1 6 3 5 4 8,0.0006862235604785383,0.9224581590695273
3,1,0,0.002154791262000799,0.7015086035736959
3,3,0 2 9,0.0014935560757294297,0.7942796961341262
3,5,0 2 9 1 6,0.0011943955905735493,0.8412354054387912
3,10,0 2 9 1 6 7 8 4 3 5,0.0007358212606050074,0.9054253767560126
4,1,0,0.004365483298897743,0.6879303724639002
4,3,0 1 6,0.0027976143173873425,0.7792181235170003
4,5,0 1 6 2 9,0.0019837277941405773,0.8481606903544646
4,10,0 1 6 2 9 8 7 4 5 3,0.0009589409455657005,0.92415109260825
5,1,0,0.003031885251402855,0.7373495107731481
5,3,0 1 6,0.0019052012357860804,0.8264810492358792
5,5,0 1 6 2 9,0.0014749466208741069,0.8762583913864052
5,10,0 1 6 2 9 8 4 7 5 3,0.0007188988383859396,0.9381123616777617
6,1,0,0.003018888644874096,0.7712352834459213
6,3,0 2 9,0.0019522353541105986,0.8451670178397162
6,5,0 2 9 1 6,0.0015318801160901785,0.8828132452928282
6,10,0 2 9 1 6 7 8 3 5 4,0.0007874181028455496,0.9377667926756862
7,1,0,0.0014195932308211923,0.843334418069239
7,3,0 6 1,0.0008057893137447536,0.9136312364575129
7,5,0 6 1 9 2,0.0006462577730417252,0.9272540083396449
7,10,0 6 1 9 2 8 7 5 3 4,0.0002893420751206577,0.9649708789466536
8,1,0,0.0032461965456604958,0.7497167640878386
8,3,0 2 9,0.0018642100039869547,0.8246441470120239
8,5,0 2 9 1 6,0.001352190738543868,0.8770389190468578
8,10,0 2 9 1 6 7 8 4 3 5,0.0005833170143887401,0.9443769597943416
9,1,0,0.004621725995093584,0.705408956713278
9,3,0 2 9,0.0025171127635985613,0.7993023956624191
9,5,0 2 9 7 1,0.0019171214662492275,0.8563847504689067
9,10,0 2 9 7 1 6 3 5 8 4,0.0009082077303901315,0.9148113215951234
10,1,0,0.0027021863497793674,0.7732141219232731
10,3,0 2 9,0.0016864673234522343,0.8600400417276817
10,5,0 2 9 1 6,0.0012370191980153322,0.9033785683593484
10,10,0 2 9 1 6 7 8 4 3 5,0.0005534155061468482,0.9571819293371421
11,1,0,0.002936835866421461,0.7407296949868255
11,3,0 9 2,0.0020325547084212303,0.8093938844834369
11,5,0 9 2 1 6,0.0013645070139318705,0.8638726571036611
11,10,0 9 2 1 6 7 8 3 4 5,0.0006757323862984776,0.927822284533351
12,1,0,0.0023795529268682003,0.7497444932684568
12,3,0 2 1,0.001022215117700398,0.8993972878322873
12,5,0 2 1 9 6,0.0010203630663454533,0.8988333442796567
12,10,0 2 1 9 6 7 8 4 3 5,0.00043732073390856385,0.9572884950534342
13,1,0,0.004335587844252586,0.7633276272936244
13,3,0 2 9,0.0019436960574239492,0.8648963119019616
13,5,0 2 9 7 6,0.0017007880378514528,0.8882575129622795
13,10,0 2 9 7 6 1 4 3 8 5,0.0006576452287845314,0.9498463117480986
14,1,0,0.001579762203618884,0.777240292106032
14,3,0 2 1,0.0006643604720011353,0.8882596717790815
14,5,0 2 1 6 9,0.000657056225463748,0.8864027243129705
14,10,0 2 1 6 9 7 8 4 3 5,0.0003227495471946895,0.9422542699274921
15,1,0,0.001842327183112502,0.7705962758325262
15,3,0 9 2,0.0011831982992589474,0.8492439483844993
15,5,0 9 2 1 6,0.001019741757772863,0.8724897851133177
15,10,0 9 2 1 6 7 8 3 4 5,0.0005628898506984115,0.9314749785538378
16,1,0,0.002573377685621381,0.7079943261833531
16,3,0 2 1,0.0013891073176637292,0.8386480159056456
16,5,0 2 1 9 6,0.0013802815228700638,0.8401371078404036
16,10,0 2 1 9 6 7 8 4 3 5,0.0007213626522570848,0.9197463597504336
17,1,0,0.004247801844030619,0.6964328202865265
17,3,0 1 6,0.0024415026418864727,0.8270124832653262
17,5,0 1 6 2 9,0.0018196020973846316,0.8660106616322832
17,10,0 1 6 2 9 8 7 4 3 5,0.0007898719049990177,0.9395107146038029
18,1,0,0.0051157474517822266,0.6636837995749556
18,3,0 2 9,0.0035202668514102697,0.7630304131727759
18,5,0 2 9 1 6,0.0029091383330523968,0.8010620428171722
18,10,0 2 9 1 6 7 8 5 3 4,0.0015413133660331368,0.8921964414302574
19,1,0,0.0027194975409656763,0.7972285267824969
19,3,0 2 9,0.0015463207382708788,0.8608130410659115
19,5,0 2 9 1 6,0.001189155038446188,0.891473778185748
19,10,0 2 9 1 6 7 8 4 5 3,0.0005752744036726654,0.9432688655595292
20,1,0,0.003218446159735322,0.7966522244934776
20,3,0 9 2,0.001945780124515295,0.868939373480526
20,5,0 9 2 1 6,0.0011562237050384283,0.9175862211304385
20,10,0 9 2 1 6 7 8 4 5 3,0.0004984280676580966,0.9632103098345993
21,1,0,0.0023183857556432486,0.8213479642675443
21,3,0 2 9,0.0011909815948456526,0.888010780146516
21,5,0 2 9 1 7,0.0007858822355046868,0.935485399774454
21,10,0 2 9 1 7 6 3 5 8 4,0.00030468989280052483,0.9713660345704037
22,1,0,0.0034648894798010588,0.7995885665950395
22,3,0 2 9,0.0018703830428421497,0.8871181549838834
22,5,0 2 9 1 6,0.0012204216327518225,0.9146366658820976
22,10,0 2 9 1 6 7 8 4 5 3,0.0005691623664461076,0.9564309766544882
23,1,0,0.002150712301954627,0.7679219787539504
23,3,0 2 9,0.0013098218478262424,0.8592768725645634
23,5,0 2 9 1 6,0.0008945778827182949,0.8985896249446801
23,10,0 2 9 1 6 7 8 4 3 5,0.00040466286009177566,0.9553329836174084
24,1,0,0.003824138082563877,0.7307142555142235
24,3,0 2 9,0.0022798648569732904,0.839843460937849
24,5,0 2 9 1 6,0.0016687132883816957,0.8857914445286131
24,10,0 2 9 1 6 7 4 8 3 5,0.000689540640451014,0.9500950906385848
25,1,0,0.002334018237888813,0.8169348388184947
25,3,0 6 1,0.0013308536726981401,0.8853724389586168
25,5,0 6 1 9 2,0.0009427081095054746,0.9076372645928233
25,10,0 6 1 9 2 8 7 5 3 4,0.00038265163311734796,0.9554485361336528
26,1,0,0.003069466445595026,0.7810428271781072
26,3,0 9 2,0.0016813166439533234,0.8685190600877922
26,5,0 9 2 7 1,0.0012882770970463753,0.9027131272216331
26,10,0 9 2 7 1 6 8 4 3 5,0.0005739016924053431,0.949942210997044
27,1,0,0.0038083093240857124,0.7457163336772752
27,3,0 1 6,0.00215213093906641,0.8544782165312801
27,5,0 1 6 2 9,0.0014510538894683123,0.8928396869871619
27,10,0 1 6 2 9 8 7 4 5 3,0.000606982153840363,0.9514481983945996
28,1,0,0.002853183075785637,0.7414969990470676
28,3,0 2 9,0.0017667888896539807,0.8316271932625104
28,5,0 2 9 7 6,0.0014768949477002025,0.8645006425758462
28,10,0 2 9 7 6 1 3 8 4 5,0.0007451956626027822,0.9318165682548575
29,1,0,0.003257201984524727,0.7500508179695442
29,3,0 2 9,0.002058683428913355,0.843614651353124
29,5,0 2 9 7 1,0.0016225730068981647,0.880133151839732
29,10,0 2 9 7 1 6 3 5 8 4,0.0008881583344191313,0.9281270283758286
30,1,0,0.006094321608543396,0.700758538072415
30,3,0 2 9,0.0041647013276815414,0.8045080515130935
30,5,0 2 9 1 6,0.002817594911903143,0.8633971292078141
30,10,0 2 9 1 6 7 8 3 5 4,0.0009720096131786704,0.9406073747931423
31,1,0,0.0019920608028769493,0.789990494813295
31,3,0 2 9,0.0012164145009592175,0.8709621564191672
31,5,0 2 9 7 1,0.0007917254115454853,0.9196193012875127
31,10,0 2 9 7 1 6 3 5 4 8,0.00041060184594243765,0.9574062144040495
32,1,0,0.0023328824900090694,0.8432090521284006
32,3,0 2 9,0.001159484963864088,0.9047153324384893
32,5,0 2 9 1 6,0.0007955931359902024,0.9374629974932223
32,10,0 2 9 1 6 7 4 3 8 5,0.0002846142742782831,0.9740314052554289
33,1,0,0.0032903882674872875,0.761178596687975
33,3,0 1 6,0.0019261430716142058,0.8416946504121662
33,5,0 1 6 2 9,0.0013500310014933348,0.8766467811785612
33,10,0 1 6 2 9 8 7 5 3 4,0.0005965800955891609,0.9353523474634048
34,1,0,0.0013349374057725072,0.790675773986313
34,3,0 1 6,0.000863082124851644,0.8549970327904193
34,5,0 1 6 9 2,0.0006804250879213214,0.8924961318832232
34,10,0 1 6 9 2 8 7 5 4 3,0.00031811813823878765,0.9554740109532965
35,1,0,0.002852122997865081,0.6947940848036874
35,3,0 2 9,0.0019473512656986713,0.7846647262103705
35,5,0 2 9 1 6,0.0015762037364766002,0.8174890394939396
35,10,0 2 9 1 6 7 8 3 5 4,0.0009433361701667309,0.8918519318369567
36,1,0,0.002730385400354862,0.7102124447359589
